a cote de    ya panga a
appel    mbela
appeler    tede
apporter    tswala
s'appuyer    chingana
s'appuyer legerement    chima
apres demain    mbissa mbedi
arachide    lependa
arachides    penda
araignee    ndzanda
araignees    bandzanda
arbalete    njedi
arbre    mouti
arbres    miti
arc    bouta
arc-en-ciel    moughiama
argent    badolo
arracher    kakala
arracher avec les racines    lata
arracher du sol    bila
arret    outchika
arrete    tchika
s'arreter    tchika
arrivee    leya
asseyez-vous    ndjalagni
assez    tchitsa
assez d'argent    badolo tchitsa
assieds-toi    ndjala
assiette    itengue
assis    moutou va tsaghala
attacher    ghada
attendre    kele
faire attention    rembela
attiser    lossa
attiser le feu    lossa cha mbwagha
attraper    kwata
au revoir    ka na bwedi
au-dessus de    ghou youlou a
aubergines    batseki
audace    bouvoto
auditeur    mouyoughili
auditeur    mouyoughi
augmentation    lekomoussa
elevement    lekoumoussa
aujourd'hui    lolo
auriculaire    moulemba tchitcho
aurore    letedi li temoune
aurores    mikiakia
aussi    ka
il est venu aussi    ne nde idi
toi aussi    na wè
vous auusi    na bekou na
autorite    lenianga
autre    moukima
l'autre maison    ndzoyena
une autre maison    ndzokima
autrefois    yakala
autres hommes    bata bana
les autres    bakima
aval    banda
avaler    mina
aveugle    wa ve la missa
aveugle    ipepidi
avorter    possa  djimi
avorter spontanement    vesse
avouer    yaghala
bagage    moutete
bagages    mitete
bagarre    moudjinga
bagarreur    moulweni
bague    lengassi
bague    moulonga
doigt    moulemba
baigner    yobichi
se baigner    yobo
je baille    me sa miassala
baillement    mwassala
baillements    miassala
se baisser    bandana
balai    ikomboulo
balayer    komboulo
balle de fusil    lechana
ballon    ndamba
bambou    loubechi
banane    leko
banane douce    letoto
bananes    mako
bananes douces    matoto
bandelette    irende
bandit    moubanga
barbe    mandeda
barriere    mouroumba
en bas de la montagne    ya tchina a moukoudi
au bas de    ya tchina a
au pied de    ya tchina a
bataille    moudenga
bataille    moudjinga
bateau    mboungou
pirogue    mboungou
batisseur    moutoungui
maçon    moutoungui
baton    moupanga
baton    mouboto
beau    boubwe
beau-frere    moundzeli
beau-pere    bouko bwa lebaghala
beaucoup    bouleghi
beaute    boubwe
beaux-parents    bako
begaiement    lekokouna
belle-mere    bouko bwa moukassa
belle-mere    bouko ba moukassa
bercer    popichi
bercer un enfant    popichi  mwana
betail    bibodi
bete    indjili
betise    bouidjili
bienveillance    bouchichi
bille de bois    lekougni
blague    ndjesse
plaisanterie    ndjesse
blamer    kakbougha
blanc    ya fou kou
blanc    ibamba
blanchir    foukoussou
blatte    pechi
blesser    nemousse
se blottir    papana
boeuf    n'gombo
boire    niodo
bois    kougni
boisson    bi bougnwa
boissons    bianio
boite de conserve    foyo
bonjour    wè na sogha
bonte    boubwe
bord    moubiloula
bord de la riviere    mougholi a ndzeli
borgne    ipipidi
borgnes    bipipidi
bouche    mounio
boucle d'oreille    tchika
boucler la porte    benda
boucles d'oreille    batchika
bouder    sa madzanga
boue    moubinga
bouger    tsoka
bouger    tsokoussa
bouillir    leke
bouillir    lamba
faire bouillir    botighi
bouillon    botighi
bouillonnement de l'eau    togho gwa mamba
bouillonnemnent    togho
bourrer une pipe    sada cha ivolo outso chindz
bout    tsombo
bouteille    pakba
bouton    ikiengue
gale    ikiengue
bouton    lessosso
bouton de gale    kana
boutons avec pus    massosso
bouts des doigts    mitswe mia milexba
boutures de manioc    miti mia bapita
boyau    moussopo
boyaux    missopo
bracelet    moulonga
braise    makakala
brancard    kwanga
brancard    tchipoyi
branche du palmier    ighele
branche d'arbre    itaka
bras    ghogho
les bras    kiogho
bravo!    tsembi!
etre bredouille    kiogho na kiogho
etre bredouille    vida
briller    naka
brouillard    leboungui
brousse habitee    pindi
brousse inexploree    libongui
brousse inhabitee    pinda
bruit    kele
bruit de pas    kele a matembi
bruits de pas    lekinda la matembi
bruler    tsoughou
bruler la plantation    tsoghou nioungui
brusquement    imbamba
brusquement    koubati
brusquement    boumboudou
buffle    niedi
buffles    baniedi
buveur    mouniouwi
buveurs    baniouwi
c'est moi    me
cabinets de toilette    makoussou
cache sexe    moubati
cache sexe    chi isweghe ghoutsoboussou
cacher    sweghe
se cacher    sweme
cacher quelque chose    sweghe       chela
cachette    isweghi
cachettes    bisweghi
cadavre    ibimi
cadavre    mvoumbi
cadeau    mafoutou
cadeau    mandzolo
cadenas    pogho
cadenas ancien    moubindagha
cafard    pechi
cahier    pepi
caillou    lekania
caisse    foyo
caisse d'emballage    ighoughoudou
calebasse    mbenda
calebasses    mambenda
caler    soka
caler une table    kaghoussa
cameleon    youmbouloukouyi
camion    loto
campement de pygmees    mvoudou
campement de brousse    itsaka
campement de pygmees    mbangou
campements de pygmees    mambangou
canard domestique    ighodo
canard sauvage    ibadanga
candeur    boupogho
canne    moupanga
canne a sucre    moussoungou
cannes a sucre    missoungou
caoutchouc    ndamba
je ne suis pas capable    mè na n'ioutou ve
caprice    ndzola
caprice    potso
mauvais caractere    bikou bibibi
carapace    ibonga
carapaces    bibonga
caresser    pele
carrefour    makoulou
cascade    poba
casser    boghoulo
ce    che
ce    wou
ce n'est pas ainsi    agni bove
ce n'est pas toi    a we ve
ce qui cache le devant    chi isweghe ghoutsoboussou
ce sont lesquelles?    bio bigni ?
ce sont lesquels?    bo begni ?
ceci    chena
cecite    boupipidi
ceintre    moulelaghe
ceintres    milelaghe
ceinture    kwamba
celibataire    indenga
celui-ci    wo naba
celui-ci    chinichi
celui-ci    wounouwou
cendre    lefoutou
cent    moukama
cent francs    makoumi mole
centre    moutema
ceremonie    moubeka
cervelle    boundzou
ces arbres    miti mi
ces choses    bielabi
ces hommes    bata ba
cesser    ni agha
chagrin    ouroungou
chagrin    tchongo
chair    moussouniou
chaleur    ndzoungouli
chaleur du soleil    nianga
chambre a coucher    tchinandzo
champignon    leboko
chance    nioutou boubwe
changer    sandza
changer quelquechose    kalagha
changer de vetement    lwata  lengoyi lekima
chanson    limba
chant    limba
chanteur    mouyimbi
chants    kimba
chanvre    yamba
chapeau    moupaka
charbon    likbida
chasse au filet    mbinga
chasser (chasse    benga
chasser (quelqu'un    mfoundzou
chasseur (amateur    moubingui
chasseur (professionnel    moumbanda
chat    moukogho
chat-huant    nombo
chaussure    letembi
chauve-souris    lepouligou
la pirogue chavire    mboungou  i itagha
chavirer    itagha
chef    chefa
chef    koukou
chef    chepa
chef de famille    moundomba
chefs    bakoumou
chemin    ndzela
chenille    itchitsouda
chenille poilue    itchitsada
chenilles    bitchitsouda
chercher    sagha
cheveu    letsoughi
cheveux    tsoughi
cheville    lekoukou
chevre    a     taba
chevron    moukokolo
chevron    moukamba
chevrons    mikokolo
chez    ghoumbogha
chien    mvwendi
chiffre    lepita la ranga
chiffre    nguindza
chimpanze    koulou
chique    niongo
choisir    solo
chose    chela
chose cherie    chela cha moutema
chouette    ibida
chuchotement    wedini
chuchotements    mawediawedi
chuchoter    wedana
chute    paba
cicatrice    ividi
ciel    youlou
cieux    mayoulou
cil    kongui
cils    makongui
cimetiere    nguila magnima
cinq    bitana
cinquante    badolo lekoumi
cinquantieme    cha makoumi matana
cinquieme    moutana
citron    lelouchi
citrouille    lelengue
citrouilles    malengue
civette    moungania
clair    cha tendeghe
clair de lune    moudanga
voir clairement    mono vele
clan    ibanda
claudiquer    tsoutsoughou
clavicule    moungongobi
clef    itchepi
clefs    bitchepi
cligner des yeux    patala cha missa
clitoris    moutongui
petit clou    tsede
grands clous    batchongo
petits clous    batsede
coccyx    moukouroukoutou
cochon    moubongo
cochons    mabekbe
coeur    moutema
cogner    bola
coiffer    mfoughou
colere    kechi
coller    katouna
coller    katoussa
collier de cuivre    moulonga
colline    ibendaka
colonne    mougongo
cokbien ?    kwe ?
commander    toma
comme    nga na
commencer    banda
comment  ?    bougni    ?
comment dit-on   ?    bougni balele ?
commerçant    mouchoumbichi
commerce    somboussa
comparaison    ifwenichi
comparer    fwanassa
comprendre    yogha
compter    tala
compter sur quelqu'un    sa  chi ta
concilier    nonguichi
concombre    ndzaka
concubinage    lembaka
concubinage    bou mbaka
concubine    mbaka
conduire quelqu'un    tosso
conduire la voiture    beta
faire confiance    sa chita
confirmer    chinga
confluent    mala
connaitre    yaba
faire connaitre    yaboussa
conseil    ndongui
conseiller    moulongui
conseiller    longo
consoler    popichi
consulter le guerisseur    tesse nganga
conte    lessaba
coquille d'oeuf    ibonga cha lemvoungou
corbeille    mbele
corde    moundjighi
corde d'un panier    lewbi
corps    mioutou
corriger    vanga
etre a cote    u ba panga
cote    lebendji
cote    panga
cote    ngoulou
cotes    mbendji
cou    lekinga
couche    kekeli
coude    mbokoulo
coudre    namougha
couler les larmes    tsolo
couleur    pita
couper    kesse
courageux    moutema lekama
courge    ndzaka
court    boutele boukoubi
il est court    moukoubi
coussinet    ipoundili
couteau    mbedi
couteaux    mambedi
coutume    ikou
coutumes    bikou
couver    ghodounou
couvercle    tapa
couvrir    djigougha
crachat    late
crachat    ikossolo
crachats    mate
crachats    bikossolo
cracher    toutoulou  late
craie    lvembe
craindre    mono  bomo
la crainte que j'ai    bomo bou me li na bwo
crapaud    ivoughou
craquer    ghassana
creuser    vaka
crevette    moukosso
cri    lekima
crier    kaya
criquet    lebanga
criquets    mabanga
cris    makima
crochet    lengobiki
crocodile    nganda
crocodiles    banganda
croire    chinga
faire croire    chingassa
croiser les bras    foutou   cha miogho
cru    chi ibissa
cruche en terre    mouniomi
cruches en terre    miniomi
cueillir    tolo
cuillere    moussebe
grande cuillere    doudou
cuire    viadoussa
faire cuire dans un paquet    yosso
cuisse    inama
cuit    viada
cuvette    lepela
cuvette    itengue chi ineni
daba    ikanga
dabas    bikanga
dame    moukassa
dame-jeanne    ingamba
danser    kena
danser toute la nuit    kena  moubeka
dard    moukomba
de    a
de l'autre cote    ngoulou yena
se debattre    popa
debilite    foussou
debout!    temoune!
etre debout    ba temoune
debrouille-toi!    papada    !
debrouille-toi!    papadanga  !
debbrousser par les femmes    saghala
debbrousser par les hommes    solo
debbrousser la plantation    solo   nioungui
debut    lebabda
deceder    kwa
dechets    bimba
dechirer    kassala
decouper    kesse
decouvrir    kouidoulou
dedans    tchina
dedans    outso
defaire    niangoula
defoncer    pandoula
dehors    ghou mbedi
dejeuner    ndja
prendre le petit dejeuner    tsoko   cha kokolo
delier    niangoula
demain    mbedi
apres - demain    mbissa mbedi
demander    vondo
demander des comptes    vondo   cha missama
demandeur    mou     bondi
demangeaison    tsotso
demenager    toda
dent    ndjina
dents    mina
depart    mwenda
depasser    lota
se depecher    sa  na moukassa
depenser    kaba
depiauter    massa ibabda
deplacer quelque chose    tsokoussa
deplier    niangala
deposer    sossa
depuis    a mata
depuis le temps que    mou banda letsoughouli
depuis que    mou banda
deraciner    lata
descendre    kounana
descendre a    yende ghou
descendre a libreville    banda  libreville
descente    lokana chia
descente    moukoudi
se deshabiller    kola
desobeir    lenguesse
desobeir    sa  madzanga
dessein    lebeghi
se detendre    monogho
detendre    nanouna
detruire    tsamouna
detruit    tsamouna
dette    ibimba
dette    moughanou
deux    bioli
deux cents    mikama miola
deux fois    bioli
deuxieme    bioli
devant    ya boussou bwa
devenir    ya
devenir    kalagha
dialogue    levovo
diarhée    moussoubagha
dieu    nzembi
dieu    manondzo
different    de    ya sandza na
different    de    kima
dignite    leghobo
dignite    bouyimba
dire le nom    touba
directement    te   ghou
disciple    mouyighi
disparaitre    niongo
disparaitre    niambouna
se disputer    vovo
distance    iyende
distance    penguidi
diviser    kaba
diviser    tsoko
semer la zizanie    tsoko
dix    lekoumi
dix-huitieme    cha lekoumi    na pombo
dix-neuvieme    cha lekoumi    na va
dix-septieme    cha lekoumi    na tsamba
dixieme    likoumi
doigt    moulemba
doigts    milemba
donner    ve
donner des coups de baton    bola  bakondo
donner des coupsde poing    bola   bighaba
donner la honte    sa  tsogni
donener raison    bengassa
donner tort    boma  chia issala
dormir    bondouna
dos    mbissa
dot    mafwa
doucement    na koundou
doucement    bouke-bouke!
doucement    na boutsogha
douceur    boubwedi
doucéur    kolo
douceur    boutsogha
douceur    sondo
douleur morale    nguengui
douleur physique    boukegni
douleurs d'accouchement    missongo
douleurs morales    manguengui
douxieme    cha lekoumi  na bioli
draguer    te
se dresser    chimbougha
dresser la table    vanga
a droite    mbaghala
la droite    ngoula mbaghala
duree    tanga
duree d'une action    idjinga
eau    mamba
eau qui boue    mamba ma ma togho
ebene    ivindou
echelle    ineghili
eclair    mouvediavedi
ecouter    yoghoula
ecraser    gnigha
ecrire    tende
ecriture    letende
effacer    djimoussa
s'effacer    djima
egoisme    boukoussou
elargir    gnetoule
elephant    ndzoka
elevement    lekomoussa
embuscade    idikou
exbuscades    bidikou
empecher    legha
employeur    koumou
emporter    beta
emprunter    sombo
emprunteur    moussombichi
en l'air    ghou youlou
en plein jour    na nianga
en public    ya missa mia bata
encore rien    ki chela ve
endurer    mono  pagha
enfance    bounguebe
enfant    mwana
enfant terrible    levamba
enfanter    bota
enfants    bana
enfants terribles    mavamba
enfler    randouna
s'enfler    randa
enfoncer    tsoukoulou
enlever    massa
enlever    possa
ennemi    moubogho
enrouler    poto
enseignant    mou yighichi
s'enteter    sa  boudounda
entier    chi ibimba
entierement    chi outchi
entierement    mba-tse
entierement    chiossi
entierement    chi ibikba
entiers    bimbi
entourer    djinga
entre!    gningoula !
entre    ya penguidi
entree du village    tsombo bola
entrer    gningoula
envelopper    kota
s'envelopper    kouba lengoyi
environ    bele na
environ    mfweghi
s'epanouir    pandougha
eparpiller    gnetousse
s'eparpiller    gnetoughe
epaule    ikoukou
ephemere    letsoughou lemochi
ephemere    tchimba
epidemie    ivongo
epiler    doussoulou
epiler    doussala
epouses    bakedi
epousseter    koboula moufoundou
epreuve    mvoudi
eprouver de la joie    mono gninga
erreur    ileba
esclave    mouvegha
esperer    sa moutema
esperer    sa sitou
esperer    sa tsongo
espoir    tsongo
esprit    letengue
esprit    leniogni
esprit    bouyedi
esprit    moukouyi
esprits    matengue
essuyer    ghokoulo
estomac    ifoundou
etable    ivanga
eteindre    djimoussa
s'eteindre    djima
etendre    sokala
etendue    itetele
eternuer    sa  batche
etirer    nonoussa
s'etirer    nonogho
etoile    mvoulili
etoiles    bamvoulili
etre etonne    kemogha
s'etonner    kema
etouffer    ikiba
etranger    ndjindza
etre    ba
etre a cote de    ba ya panga a
etre accable    yila
etre allume    nama
s'etre allume    ya nama
etre aveugle    wa vela missa
etre colle    katouna
etre d'accord    chinga
etre d'accord    yaghala
etre en bonne sante    ba boubwe
etre enfermé    ba benda
etre ferme    ba benda
etre fort    li  napindza
etre gonfle    bimba
etre pourri    chi ya bole
etui pour couteau    issoupou
s'evanouir    kwada  cha niamba
evanouissement    niamba
eviter    bakala
expliquer    vanga lele
explorateur    moukoti
explorer    koto
expres    mouteba
extraire    possa
fable    lessaba
se facher    kambagha
se facher    kambougha
fade    podi
faible    volo
faiblesse    kolo
faim    ndzala
faire    sada
faire    sa
agir    sa
faire accoucher    botessa
faire allusion    louta moughoudou
faire boire    niodosso
faire chauffer    leke
faire confiance    sa moutema
faire confiance    sa chia chita
faire confiance    sa tsongo
faire connaissance    yaboussa
faire creuser    touma vaka
faire croire    chingassa
faire cuire    lamba
faire du commerce    somboussa
faire fondre    sonoussa
faire fondre    sola
faire gonfler    randoussa
faire grincer    ghwekesse
faire l'appel    te
faire monter quelqu'un    kokoussa
faire peur    sa bomo
faire pleuvoir    noghousso
faire rassembler    kokoussa
faire remplir    loloussa
faire ressembler    fwanoussa
faire signe    vesse
faire tomber    raghassa
faire tourner    djenguesse
famille    ngagha
famine    ipenga
fantome    moukouyi
fantomes    mikouyi
fatigue    roko
fatigue extreme    dzoughou
fatiguer quelqu'un    rokousso  moutou
faux    mala
felicitations    maloumbi
feminin    moukedi
femelle    moukedi
femke mariee    moukassa
femme mariee    ba kwele
femme mariee    moukedi
femme qui allaite    moukassa  wouve mabele
femmes mariees    bakedi
fendre    passa
fendre un arbre    passa mouti
fermement    moutema lekama
fermement    kamou
fermer    djibougha
se fermer    indjibighi
fermeture    ibindili
fertile    lebolo
fesse    letagha
fesses    matagha
fetiche    ndjobi
fetiche    ngoyi
fetiche    ilongo
fetiches    bilongo
feu    mbwagha
feuille    lekaya
feuille de cahier    pepi
feuille de papier    issangangoubou
feuilles    makaya
feuilles d'arbres    maka ya mouti
fiance    mbaka
fiances    bambaka
fidelite    tchimi
fidelites    matchimi
figure    pandza
fil    mengue
filaire    tsosso
filet de chasse    lichinga
filet de peche    leriki
finir    fwa
finir    mana
flacon    tsedi
flacon    iponga
flatterie    ipele
flatterie    dede
flatteur    ngaipele
fleche    lebechi
fleches    mbechi
flechir    ibondouna
flechir    denguene
fleur    koumou
folie    bouledi
fontaine    lateghala
force physique    pindza
forcer quelque chose    sa  pendza
foret lointaine    koumbi
foret vierge    pindi
forger    tsoulou
forgeron    moutsouli
fou    galedi
fou gueri    mouleledi
foudre    keki
foule    moukoungui
fourchette    moutsoumou
fourchette    mouchebe a tsatsa
fourou    nengue
fourou    ifoudi
fourous    bifoudi
fourous    banengue
foyer    ibiki
france    fwala
frere    ndoumi
soeur    ndoumi
soeurs    bandoumi
freres    bandoumi
fuir    bata
fumer    doutou cha ivolo
fumer    niodo
fumier    leboumbou
furoncle    loussosso
fusil    ndjedi
fusils    mandjedi
gabon    poungou
gabonais    moussipoungou
gagnant    moubeghi
gagner    bagha
garcon    lebaghoula
garde    moukeli
sentinelle    moukeli
garder    kele
gaspillage    beyissa
etre gaspillé    ya boungana
gaspiller    bonga
à la gauche de    ghou kassa
la gauche    ngoula kassa
gazelle    cheti
gencive    boubita
gencives    mabita
gendarme    mougholi
generosite    boukebi
generosite    lekabou
genou    lebongo
genoux    mabongo
genre    lekaka
genre animal    lekaka la baniaka
genre humain    lekaka la bata
gibier    niama
gibier dépecé    ikakou
gibier tué    bibete
gibiers    baniama
giffler    bola leboto
glissade    mfwelili
glisser    seneghe
glue    boulimba
gobelet    kopo
godasses    badrouma
etre gonflé    bimba
gorge    moungonga
gorille    ndjiya
gourmand    ngoussou
gourmand    nga oudoukou
gouter    megha
goutte    letengui
goutte à goutte    letengui-letengui
goutte à goutte    dou-dou-dou
goutte de sang    letengui la nguina
gouttes de sang    matengui ma nguina
graine    leboutou
graine d'oseille    konga
graines    mboutou
graines de piment    bandoungou
graisse    medi
grand    bouneni
grand    leneni
grand village    bola bou bouneni
grand animal    niama
grand animal    mouneni
grand homme    moutou
grand homme    mouneni
le grand    ngwamoutou
grand-parent    kagha
grande jambe    letembile leneni
grande maison    ndzo i ineni
grandir    bogha
les grands    bangwabata
grands-parents    bakagha
gratter    ghata
gravir une montagne    bendagha a moukoudi
griffe    niada
grillé    kanga
griller    kanga
grillon    ndjene
grimaces    bissamouna
grincer    ghweke
griot    moutsoundi
grogner    chingoula
grogner    bembe
gronder    sembe
gronder    douma
gros    bouneni
grossesse    na djimi
grossir    randouna
se gonfkler    randouna
grouper    kokassa
guepe    iloubi
etre guéri    beleghe
guerir    belesse
guerir    belegha
guerisseur    moubelichi
guerisseur    nganga
consulter le guerisseur    mono nganga
guerrier    moulweni
guetter    doko
guetteur    moudoki
gueule    mounio
guide    moubiti
guider    beta
guitare    ngombi
habiller    lwata
habiller    lwatoussa
habiller quelqu'un    lwatoussa
habitant de    moussi bola
habitants de    bissi bola
habitants de    bata ba
habitude    ikou
habitudes    bikou
hache    pibi
haches    mapibi
haine    levida
haine    ibene
hair    vida
hamecon    lelobo
par hasard    mou matessele
se hater    tsopa
se hater    lenguesse
en haut    ghou youlou
à haute voix    ghou ketia youlou
helicoptere    lavion la ingamba
herbe    chimba
herbes    bimba
herbivore    moundji a bimba
herisson    icheke
heritage    moukwegni
hesiter    tchikouna
heure    letedi
quelle heure avez vous ?    we letedi kana?
heurter    koba
heurter un obstacle    koba libaka
hier    mbedangui mbedi
hocher la tete    tsokoussa moutswe
homme    moutou
homme debauche    mouta boupoupoulou
homme debauche    moutou a boupoupoulou
homme sot    moutou indjili
hommes    batou
hommes    ba baghala
les males    ba baghala
hommes d'autrefois    batou bakala
hommes de    bata ba
honorer    ghobosso
honte    tsogni
hoquet    itsokiatsoki
hotte    pondji
huile    medi
huit    pombo
huitieme    moupohbo
hypocrisie    levedi
hypocrite    nga levedi
ici    ya
ici et là    mbedi a mbedi
idée    outassa
igname    mbala
ignames    bambala
ignorer    sa  yaba ve
il    nde
il y aura    a ka ba
il y aura une pluie    a ka ba na mvoulou
il y avait    a ba
ile    iromba
ile    ndoubi
image    indjima
imiter    yeghoule
importuner quelqu'un    youngassa moutou
impot    lepa
incliner    bandoussa
s'incliner    dengoune
inconnu    ndjindza
inculper    koutoulou
index    koulemba a douka na ngou
indice    ilemba
signe    ilemba
indigestion    leyotougha
indiscipliné    ngamandzanga
indiscipline    mandzanga
indiscipline    ivoulou
infirme    kata
infirmes    bikata
initier    gnengoussa
injure    itoughi
injurier quelqu'un    togha chia moutou
innocence    ni mabinga
innocent    mabinga
innocent    wa velnadjamba
inondation    tonda
inscrire    tende
faire inscrire    tendousse
installer    tsaghoussa
s'installer    tsaghala
instrument pour sculpter    paka
insulter    toghana
intelligence    bouyedi
intelligent    iyedi
intention    kendza
interdire    legha
un interdit    nguidi
interieur    outso keti
interpreter    mouyoukili
interpreter    yokala
interroger    foulou
introduire    gni ngassa
ivresse    wa kola mala
ivrogne    mouroki mala
ivrogne    mouroki malamou
jalousie    kounou
jaloux    ngakounou
jambe    letembi
jambes    matembi
jaune    ya bengue
je    me
je suis    me li
jeter    vede
jeter    boussou
jeter    tete
jeter au loin    boussou vala
jeter un sort    logho
jeteur de sorts    mouloghi
jeune fille    moukassa wa ve kwele
jeuner    mina cha koughi
jeunesse    bounguebe
enfance    bounguebe
jeux    mitamba
joue    leboka
jouer    tamba
joues    maboka
le jour se couche    bouchi bouyila
le jour se leve    bouchi boukia
toute la journee    letsoughou la bouchi
tous les jours    bouchi na bouchi
juge    bandza
juge    moukechi
jugements    mipamou
juger    paghala
juger    songoussa
juger    kesse
juges    babandza
jumeau    levassa
jumelle    levassa
jurer    laba
jusqu'à    nguiona
jusqu'à aujourd'hui    tena lolo
jusqu'au soir    tena moukolo
juste    bwedi
bien    bwedi
juste    tchitsa
la-bas    gho na
la-bas    ya na
lac    djanga
lacets    louswe
laisser    niangassa
laisser    niagha
lait de chevre    mabena ma taba
lampe    lepi
langage    ndagha
langue    liliki
large    bouneni
larmes    matsanga
laver    tsoka
se laver    yobo
lecher    vete
leger    cha lengue
lèpre    makedi
se lever    temoune
lèvres    bibodi
lezard    ichili
liane    lebamba
liane    ndanga
liane caoutchouc    ndamba
libellule    ngwanaguegni
liberer    potolo
lien    lendjita
lien    mouchinga
lien    moutchigha
lieu    itsegha
endroit    itsegha
lieu d'aisances    tsomo
lieu de repos    mbogha i bouvoma
lieu de repos    mbogha voma
lieu secret    louswebe
lieu secret    indongo
lignee    itsoukou
limace    ilondji
sans limite    itsigha
sans limite    chicha ve na mandila
limites    mandila
lion    ingoungou
lipe    tangana
lit    tengui
livre    issangangoubou
longer une rivière    ghongoulo ndzeli
longueur    boutele
loucher    miss mia vengougha
louer    vevale
flatter    vevale
louer    koumoussou
lourd    boulema
lourdeur    boulema
lourdeur d'une chose    boulexa bwa chela
lui seul    nde boutoubou
lui seul    nde mwe
elle seule    nde boutoubou
elle seule    nde mwe
lumiere    mbwagha
lumiere    bouchi
lune    ngondi
lunettes    biegni
machette    mbedi-icoto
machette    lebata
machette    iletale
machettes    kabata
machettes    mambedi-mabicoto
machettes    biletale
machin    chela
machoire    mou banga
machoires    mibanga
magnans    banguembi
etre maigre    u na ghassa
maigrir    ghassa
main    lekaka
mains    makaka
maintenant    na mandzi
mais    poutou
maison    ndzo
maisons    mandzo
maitre    mouyighichi
enseignant    mouyighichi
mal    boubi
malade    mabeda
maladie    mabeda
maladie du sommeil    mabeda ma cholo
maladif    moubeda
etre dans un etat maladif    konogho
malediction    bouloghi
malediction    ouchiboula
malediction    ndogho
maledictions    mandogho
maledictions    mabigha ma mabi
malin    bouyedi
maman    mama
la manche    ghogho
le manche    moutsoudou
le manche    mouvinia
manche de couteau    moubenda
manger    ndja
manger le matin    tsoko  cha kokolo
mangue    moumanga
mangues    mimanga
maniere    lessogha
maniere    mounongo
manifestation    moubeka
manifestation bruyante    ouroungou
manifestation bruyante    ghoutoumou
manifestations    mibeka
manioc    miondro
manioc    pita
baton de manioc    ikwanga
feuille de manioc    mayagha
manioc préparé    lebanda la pita
maniocs    bapita
manquer    vele
manquer    kitoussa
manquer    kita
maratre    pala ngwa we
marchander    pinia
marchandises    bitsada
marchandises    mabomo
marche !    tswe !
la marche    mwende
le marché    lekassa
marcher    yende
mari    mouloumi
mariage    lekwele
marier    kwele
se marier    kweloune
marigot    moudjagha
marigots    midjagha
marmite    ndzoungou
marque    pita
marques    mapita
masculin    lebaghala
masque d'animal    mvoudi
matin    na ngweli
maudire    logho
maudit    wou balogho
mauvais    boubi   i
méchanceté    boukegni
méchant    kechi
pas méchant    kechi ve
pas méchant    wa vela kechi
medaille    moussanga
medecin    mouboughi
medicament    miti
medicament    ilongo
medicaments    bilongo
mémé    kagha
grand-mère    moukassa
moi-même    me mwene
memoire    lekelesse
menace    sada
menace    lessighala
menace    levovo
menace    moudjinga
menace    kouchibala
mensonge    mala
menteur    nga mala
mentir    lele mala
menton    pengue
mepriser    kama cha moutema
mepriser    rokolo
mepriser quelqu'un    rokolo na moutou
merci    lebwe la we
mere    ngou
message    tsanga
mesure    chetse
mesurer    yebousse
metier    moudiandza
mettre    soussa
mettre à la porte    foundza
mettre d'accord    yaghala
