Initiation au bwiti.	Abandji
Avènó a encore bu tout à l'heure	Avènó afe dyónga
Avènó a encore bu à l'instant même	Avènó afó dyóngi
Avènó a encore bu.	Avènó afe dyónga
Avènó a encore bu.	Avènó afó dyóngi
fièvre infantile.	Afuna
avoir la fièvre infantile.	Koto n'afuna
fièvre infantile intermittente.	Afuna m'igangani
Huile,	Agali
graisse	Agali
corps gras	Agali
huile de palme.	Agali m'imbila
huile de palmiste.	Agali m'aṉanga
huile de raphia.	Agali m'inteovi
beurre	Agali mi ndjawe
graisse, sain­ doux.	Agali mi ngowa
saintes huiles.	Agali m'Aṉambyè
faire de l'huile	Pyara agali
presser l'huile	Pyara agali
filtrer de l'huile.	Kandjun'agali
enlever l'huile qui surnage.	Bin'agali
l'huile est figée.	Agali m'anani
l'huile est fondue.	Agali w'adyangini
Ne pas aimer	Agaml̂
ne pas vouloir	Agaml̂
refuser	Agaml̂
je n'aime pas ce fruit.	My'agamî olonda nièwónó
pourquoi ne voulez-vous pas manger?	Anw'agamî ṉe n'ande?
il refuse d'aller en classe.	Agamî kènde g'ezango
Sorcellerie,	Aganga
science occulte	Aganga
enchantements.	Aganga
se livrer à la sorcellerie.	Póg'aganga
faire faire des sorcelleries.	Pógiz'aganga
ce sont là nos sorcelleries à nous, Mpongwès.	Mèmó agang'imazo mi Mpongwè
conte.	Agano
Ngw'Akinda mourut à force de vouloir tout imiter.	Mpèra-vèrano ayoni Ngw'Akinda g'agano
tout imiter a tué Ngw'Akinda dans les contes.	Mpèra-vèrano ayoni Ngw'Akinda g'agano
Aller.	Agè
ne va pas dire.	Agè buya
ne va pas dire	agènda go buya
et j'allai cueillir le fruit.	G'agè dyivi myè olonda
et j'allai cueillir le fruit.	g'agèndi myè go dyiv'olonda
je n'irai pas prendre.	My'agè bonge
Doux.	Agèï
qui ne contient pas de sel	Agèï
de l'eau douce.	Aningo m'agèï
un poisson d'eau douce.	Ewèrè z'agèï
jusqu'à.	Agè-kota
de Libreville à Port-Gentil.	Avila go Mpongwè agè-kota go Mandji-Orungu
d'ici à là-bas.	Avila vónó agè- kota gonó
d'aujourd'hui à demain.	Avila nenó agè-kote mènè
Jusqu'à.	Agènda
d'ici à là-bas.	Avila gunu agènda gonó
d'avant-hier à après-demain.	Avile dyóni agènde mbani
Maléfice lancé contre quelqu'un pendant la nuit.	Ageryè
manger les âmes des autres. Syn. Bóla.	Kirwa g'ageryè
nager debout.	Dyóg'ageryè
Graminée à larges feuilles rugueuses, qui pousse en touffes compactes.	Agogo
Petite plante à tige grele et rameuse.	Agóï-góï
lycopode élancé	Ngwè-y agóï-góï
A peu d'intervalle	Agombè
en se suivant	Agombè
ils sont morts à peu d'intervalle l'un de l'autre.	W'adyuwa agombè
Mânes des ancêtres.	Agombe-Nèró
faire des offrandes sur les tombes	Nambin'Agombe-Nèro
cuire des aliments pour ceux du temps passé	Nambin'Agombe-Nèro
Dizaines.	Agom̂i
vingt	Agom̂i ambani
trente	Agom̂i araro
soixante	Agom̂i orowa
message	Agonda
envoyer un message	Twaniza agonda
donner une commission.	Tom̂inya agonda
s'acquitter d'une commission.	Buya, twana agonda
je suis venu hier parce que j'ai ouï dire que ...	My'agove byeni g'ayógó myè nè...
Anguilè est parti à cause de ton père	Angilè agove kèndi ntina ni rer'iyó
Anguilè est parti à par égard pour ton père	Angilè agove kèndi ntina ni rer'iyó
frapper des mains	Agowi
frapper des mains.	Tul'agowi
quand l'homme courageux est loin, il frappe des mains.	Evèmba aduo dava e tul'agowi
On est brave loin du danger.	Evèmba aduo dava e tul'agowi
Pauvreté	Aguga
indigence	Aguga
misère profonde.	Aguga
quelle misère!	Imè! aguga!
quelle misère!	Agugande minó!
être dans la misère.	Koto n'aguga
ces misères dans lesquelles nous nous débattons.	Aguga minó mi nwa n'azwè
j'éprouve beaucoup de misères dans ce village.	Mi dyen' aguga ambe go nka yinó
cet accordéon en voit de dures!	Imè! ibeka ṉi dyena aguga!
Comment vas-tu?	Intchango sè ?
à part les misères de la vie.	Intchango mbyambye, kao aguga mi ntche. Très bien
un gouvernail	Evèpa z'aguga
une voile de fortune.	ikuku ṉ'aguga
Aïe !	Aï !
Jamais.	Aïya !
Garde-toi.	Aïya !
Jamais, au grand jamais, ne va là-bas.	Aïya go kènda gogo!
gardez-vous de croire encore aux fétiches!	Aïyani go le dyivira isam̂u y'aganga
Sève.	Aka
la sève de l'osóngó rend aveugle.	Aka m'osóngó mi nim̂a antchó
le latex de 1'ogum̂u sert à prendre les oiseaux.	Aka m'ogum̂u mi kotin'iṉóni
dysenterie glaireuse.	Iwum̂u ṉ'aka
Arbitre	Akaga
juge	Akaga
Chef de guerre	Akaga m'igówi
coryphée de la danse Ivanga .	Akaga m'ivanga
A la renverse	Akalambani
sur le dos.	Akalambani
tomber à la renverse.	Poswa akalambani
faire le saut périlleux, faire des cabrioles.	Pal'akalambani
Nom propre donné autrefois à l'enfant d'une féticheuse.	Akanda
personnage mystérieux du ndjèmbè.	Ngwè-Akanda
le fétiche du ndjèmbè frappe la terre de douleur! ah! ah!	Akanda m'abola go ntche! i! i!
contre­ poison des excréments humains	Akaza
Inlusion de la racine d'Ikaza.	Akaza
boire le poison d'épreuve.	Dyónga akaza
administrer l'akaza.	Dyóndja akazâ
être reconnu coupable à l'épreuve du poison.	Kewo n'akaza
être reconnu coupable à l'épreuve du poison.	Poswa n'akaza
le poison d'épreuve n'a pas eu d'etfet	Akaza m'akwa ido
le poison d'épreuve n'a pas eu d'effet	m'akweni ido
se dit quand il y a impossibilité de régler le palabre parce que le coupable est un homme trop influent.	m'akweni ido
Rires.	Akè
une chose risible.	Igamba ṉ'akè
rire aux éclats.	Dyóna akè
rire aux éclats.	Todwa n'akè
aimer à rire ?	Tonda akè
mourir de rire.	Dyuwa n'akè
je fus pris d'un fou rire	Myè bwè n'akè
je ris à mourir.	Myè bwè n'akè
rire sans savoir pourquoi.	Dyona akè mi nandja
Aller.	Akè
il est allé prendre un verre	Akè bónga
il est allé prendre un verre.	Akè bóngi elasi
il est allé prendre un verre.	akèndi go bonga elasi
Tribu disséminée depuis l'Estuaire du Gabon jusque dans le Haut-Ogowè.	Akèlè
un Akèlè.	Omŵ 'Okèlè
oiseau gallinacé.	Akèlètchubakè
Herbe grasse à feuilles luisantes.	Ake-mi-ndjógóni
Si encore.	Akè ne
quel mal y a-t-il à cela?	Akè nè igamb'iwè
quel mal y a-t-il à cela?	Akè nè ṉi re dego-pa?
si encore c'était une action mauvaise	Akè nè ṉi re dego-pa?
si encore c'était défendu.	Akè nè igamb'iwè
Air fâché	Akèngó
mauvais œil.	Akèngó
regarder quelqu'un de travers, d'un air fâché.	Kil'oma akèngó
À l'aube	Akèsa
de bon matin	Akèsa
de bon matin	Ayendjina
à l'aube	Ayendjina
il faudra venir demain de bon matin.	Mène, ko bya n'akèsa modudu
Engourdissement	Akete
grande frayeur	Akete
être glacé d'effroi	Sumô n'akete
sécher d'épouvante.	Sumô n'akete
Merci	Akéwa
remerciement.	Akéwa
à lui la reconnaissance.	Akew'imè!
remercier quelqu'un.	Finiza oma akewa
remercier quelqu'un.	Pa oma akewa
je te remercie beaucoup.	Mi p'ó akewa ampolo
grand merci!	Akewa polo!
merci.	Akewa!
merci	Akewani!
merci d'être venu.	Akewa g'abyondó
Ocoumé frisé.	Akólóngumû
Inutile de forcer son talent.	Akólóngumû agalwe okumê
Hypocrisie.	Akólóngumû
tu me dis des paroles hypocrites.	O kamba myè ikamba s'akólóngum̂u
Danse pahouine, d'hommes seuls.	Akoma
Malchance	Akoma
mauvaise fortune.	Akoma
quelle déveine!	Akom̂ande ambe minó!
tout ce que j'entreprends de faire ne me réussit pas	Osam̂uedu wi kendjo myè go dyandja, mi dyena kao akom̂a arevo!
je ne vois que malchance seule	Osam̂uedu wi kendjo myè go dyandja, mi dyena kao akom̂a arevo!
Assemblée	Akonda
réunion	Akonda
vous, Mpongwès, ici assemblés.	Mpongwè n'Akonda !
Vous tous ici réunis.	Ovago n'Akonda !
Un des surnoms de la lèpre	Akorovanda
Variété de Palmier-Raphia à stipe élancé	Akótó
A genoux.	Akótóló
se mettre à genoux.	Dowa, Dwana ou Sonya akótóló
se mettre à genoux.	Dowa, Sonya akótóló
s'agenouiller devant quelqu'un.	Sum̂ina oma akótóló
s'agenouiller devant quelqu'un.	Dowina oma akótóló
prier à genoux.	Kambina, akótóló wâ
qui marque un motif.	Akove
je suis venu parce que j'ai appris que...	My'akove bya, g'adyógó myè inè...
je suis allé là-bas à cause de toi.	My'akove kènda gogo g'okóngó wó
Race de Pygmées que l'on retrouve dans tout le Gabon.	Akowa
mariage entre proches parents.	Idyomba s'Akowa
tu as les jambes cagneuses.	O re akowa
tu as les jambes cagneuses.	agolo akowa
chance	Akubungu
Chance	Akungu
bonne fortune	Akungu
aubaine.	Akungu
quelle veine!	Akubungu mam̂i !
quelle veine! (se dit quand on heurte du pied une pierre, un tronc d'arbre, une racine . . .). Ctr. Akoma.	Minó akubungu mam̂i !
Par hasard	Akungu
fortuitement.	Akubungu
nous nous sommes rencontrés par hasard.	Azw'adatana akubungu
nous nous sommes rencontrés par hasard.	Azw'adatana akungu
Récompense	Akulu
Récompense	Ozèndo
gratification donnée pour un service rendu	Akulu
as-tu reçu une bonne récom-pense?	O dènga akulu mbyambye ?
poisson de mer.	Akuryawéna
Bananeraie qui entoure le village.	Akusa
s'en aller par la cour pour revenir par la bananeraie.	Igènda n'igala, iviṉa n'akusa
passer par la bananeraie.	Pingwa n'akusa
Long	Ala
grand.	Ala
de longues ficelles.	Agóndji alâ
Très long	Alalye
très grand.	Alalye
que ces hommes sont grands!	Imè! anom̂e alalye!
Accointance	Alató
liaison	Alató
fréquentation.	Alató
il n'y a rien de commun entre toi et moi.	Myè n'awè, azw'azele n'alató
Nom propre de fétiche.	Alèka
Rhumatismes articulaires.	Alèkó
les douleurs des rhumatismes te saisiront !	Alèkó mi be kot'ó !
Mou	Alèle
facile	Alèle
doux.	Alèle
des bananes blettes.	Atótó alèle
des lois faciles à observer.	Ampang'alèle
des paroles douces.	Agamb'alèle
Jeunes femmes	Alèngó-nango
jeunes filles	Alèngó-nango
le beau sexe	Alèngó-nango
Fonte.	Alipóti
une marmite en fonte.	Ntchwana y'alipóti
Lourd	Alire
pesant.	Alire
de lourdes pierres.	Ado alire
Nœuds	Alîrya
boucles.	Alîrya
tu as les cheveux crépus	O re itwe alirya
tu as les cheveux crépus	Itwe só si re alirya
Auprès de	Aliwangano
près de	Aliwangano
aux environs de	Aliwangano
je demeure près de la grande route.	Mi dwana aliwangano ni mpónó mpolo
Hernie.	Aloko
avoir une hernie.	Koto n'aloko
avoir une hernie.	Sumo n'aloko
bandage pour hernie.	Otumba w'aloko
Tribu apparentée aux Eshiras.	Alombo
Costume de danse confectionné avec des feuilles de raphia ou de bananier.	Alomba
le costume des danseurs de m'okukwè	Alomba m'okukwè
Les premiers.	Alonga
les premiers seront les derniers et les derniers seront les premiers.	Alonga wi be num̂una ; Anum̂una wi be donga
Premier.	Alonga
les premières paroles.	Agamb'alonga
autrefois	G'alonga
auparavant	G'alonga
premièrement.	G'alonga
autrefois je demeurais chez les Nkomis.	G'alonga my'alwanagi go Nkôm̂i
commener par	Alonge
commencer par	Alunge
faire d'abord	Alonge
faire d'abord	Alunge
il m'a d'abord donné un franc.	Alonge peni myè fura
Mânes des ancêtres	Alongi-Boso
Affectation	Alugiza
prétention	Alugiza
tu es prétentieux	O re alugiza
tu es sottement prétentieux.	O denda alugiza nï'isóló fó
Eau-de-vie	Alugu
alcool.	Alugu
boire de l'alcool.	Dyóng'alugu
être ivre	Bóngo n'alugu
être ivre	Kewo n'alugu
coton	Alugudo
Ancien	Alungu
vieux.	Alungu
de vieilles pirogues.	Amaro alungu
être au passé.	Aluo
j'étais assis.	My'aluo tu
ils étaient au village.	W'aluo go nkala
le jour où je suis arrivé ici, il construisait sa case.	Ntchugu y'awyeni myè gunu, aluo e noge nagwè
il l'avait déjà construite.	Aluo anogiyo
Si c'était	Alwane nè
si	Alwane nè
si c'était toi...	Alwane nè awè...
si mon père vivait encore.	Alwane nè rer'iyam̂i e pare bó
Si	Are nè
Si	Arwe nè
Animal fabuleux.	Amalè
Charbon de terre ou de bois.	Am̂ana
les bateaux à vapeur marchent au charbon.	Am̂arotutu mi kèndyo n'am̂ana
du charbon à repasser le linge.	Am̂ana mi kilin'ingóï
du charbon de forge.	Am̂ana m'iguwa
mettre du charbon dans le feu.	Dyega am̂ana
Petit.	Am̂ango
de petits œufs.	Ake am̂ango
Herbes.	Amani
sarcler ou couper les herbes.	Nèm̂'am̂ani
arracher les herbes.	Dul'am̂ani
faucher les herbes,	Falun'am̂ani
mettre les herbes en tas.	Datiz'am̂ani
mettre les herbes en tas.	Kum̂iny'am̂ani
une touffe d'herbes.	Etuta z'am̂ani
une botte d'herbes.	Ita n'am̂ani
un tas d'herbes.	Okondo w'am̂ani
Embranchement de chemin	Am̂arakano
carrefour.	Am̂arakano
je l'ai laissé à la bifurcation du chemin.	My'atig'è g'am̂arakano m'impónó
je l'ai laissé au carrefour.	My'atig'è g'am̂arakano m'impónó
confluent.	Am̂arakano
Kango est au confluent du Como et de la Bókwè.	Kango are g'am̂arakano mi Nkómó ni Bókwè
Marteau.	Ambala
marteau-tenaille	Ambafo m'igómbó
Deux.	Ambani
les deux bras.	Agó ambani
les deux palmiers.	Ambila ambani
lorsqu'il va se promener, il s'arrête à chaque instant.	Are, djógó akè kangana, agènd'ambani adwani
vingt fusils.	Agom̂i m'indjali ambani
Surnom donné aux Européens.	Ambasi-nkombe
Jeu de ndjèmbè.	Ambatè
Surnom des Mpongwès.	Ambazè
les Ambazè ou Mpongwès découvrent les choses cachées.	Ambazè, g'Ambazawaza igom̂a
je suis un pur mpongwè.	Myè om̂w'Ambazè
Mauvais	Ambe
méchant.	Ambe
une mauvaise odeur.	Anango ambe
Mal fait	̶Ambe
laid.	Ambe
des fenêtres mal faites.	Asangal'ambe
des visages laids.	Azo ambe
Le moindre	Ambe
le plus petit.	Ambe
pas même un peu d'eau	Wangane aningo ambe
une mauvaise eau	Wangane aningo ambe
ces enfants sont très paresseux,très gourmands.	Awana winó wi re agera ambe, agaso ambe
Mamelles	Ambènè
seins	Ambènè
Saillies en bois sur lesquelles le barreur s'arc-boute	Ambènè m'owaro.
Lait.	Ambèningo
traire une vache	Pyara ambèningo mi ṉare
traire une brebis	Pyara ambèningo m'idómbè
traire une chèvre	Pyara ambèningo mi mboni
un remède pour augmenter la sécrétion du lait.	Nango yi sonya ambèningo
Cru.	Ambezo
des gigots de moutons non cuits.	Ambèni m'adómbè ambezo
Embarras	Ambilyè
grands airs.	Ambilyè
faire des embarras.	Denda ambilyè
tu es un faiseur d'embarras.	O re ambilyè
Arbres ou rochers sacrés.	Ambîro
faire des offrandes de vivres aux génies des arbres, des rochers	Dyir'iṉa g'ambiro
Premier quartier.	Ambom̂unya
Mûr.	Ambónde
des oranges mûres.	Alasa ambónde
Coutelas de guerre.	Ambóndóngó
il tient son grand couteau à la main.	Are abóndóngó m'okwara nkotaga
Pourri.	Ambóne
des crabes pourris.	Agómbó ambóne
boutons.	Ambowî
il a des boutons aux mains	Abyeno n'ambowi g'intchóm̂è
il a des boutons aux lèvres.	Abyeno n'ambowi g'ogwana
Remous.	Ambula
quand Nani-Ṉgani et Ṉeni-ngani sortirent de la cale du navire et se jetèrent à l'eau on ne vit plus que le remous...	Igógwa ṉ'agógwi Nani-ngani ni Ṉeni-ngani agógwa g'ompulungu w'owatanga; kao ambula ...
Aube	Ambulwa-wulwa
le lendemain matin, dès la premières heure, nous nous mîmes en route.	Bu ṉâ, ibanga, n'ambulwa-wulwa modu, g'awye kèndi zwè...
Nom donné à l'enfant né après deux jumeaux.	Amburwè
Cadeaux	Ambya
présents.	Ambya
où sont les cadeaux que tu m'as apportés ?	Ambya m'atwanondó myè mi re gwe ?
as été à Libre­ville, as-tu reçu des cadeaux?	G'apilóndó go Pilató, o dènga ambya vye ?
Bon	Ambya
beau	Ambya
de bonnes oranges.	Alasa ambya
de belles pirogues.	Am̂aro ambya
Ces gens-là sont joliment gourmands	G'agaso ambya mi re ni móngi mèsônó
Cri superstitieux pour détourner un malheur.	Ambya
Paix	Amèndjè
bonheur	Amèndjè
prospérité.	Amèndjè
départ avec paix, retour avec paix	Igènda n'am̂èndjè, ivinya n'am̂endjè!
souhait que l'on adresse aux partants.	Igènda n'am̂èndjè, ivinya n'am̂endjè!
faire la paix	Pang'am̂èndjè
signer la paix.	Pang'am̂èndjè
D'autres.	Am̂ènè
d'autres mangues.	Aba amènè
Femmes initiées au ndjèmbè.	Amengamenga
Femme initiée au ndjèmbè.	Omenga-menga
Plusieurs	Amenge
beaucoup	Amenge
beaucoup d'eau.	Aningo am̂enge
Parfois	Amenge
des fois.	Amenge
mon ami couche ici parfois deux jours, trois jours.	Ndeg'wam̂i e nanaga gunu, am̂enge ntchugu mbani, ntcharo
Probablement.	Amenge
il y a des chances que tu ne réusisses pas.	Am̂enge o be'dyólya
Manières.	Am̂èngó
tu as des manières avenantes	O re am̂èngó ambya
tu as des manières déplaisantes.	O re am̂èngó ambe
Quelques.	Am̂èwó
il m'a donné quelques cannes à sucre.	Apa myè akoko am̂èwó
Peut-être.	̶Am̂èwó
il reviendra peut-être.	Am̂èwó e be îó bya
Nouveau	Am̂óna
neuf	Am̂óna
des costumes neufs.	Ambóra m'ingóï am̂óna
Les autres.	Am̂óri
les autres chefs.	Aga am̂óri
les autres brebis.	Adómbè am̂óri
où sont les autres ?	Am̂óri wi re gwe ?
Qui tient de la diarrhée.	Ampambe
évacuation alvine liquide	Ati ampambe
diarrhée.	Ati ampambe
Flux	Ampandya
marée montante.	Ampandya
Jumeaux.	Ampaza
se dit de la coïncidence de deux faits, de deux événements.	Ampaza m'adiwi
les jumeaux sont au complet.	Ampaza m'adiwi
des bananes-douces réunies ensemble.	Ampaza m'atótó
Honneurs	Ampenda
dignités.	Ampenda
rechercher avec empressement les honneurs de ce monde.	But'ampenda mi ntche ni mpyo-mbila
nous avons assisté aux réjouissances données en l'honneur du chef Mène.	Azw'apila g'ampenda mi Rè-Mènè
Dernier quartier.	Amperiza
Grillé	Ampike
cuit sur les charbons.	Ampike
des bananes grillées.	Akóndo ampike
Sobriquet donné aux Ivilis.	Ampili
Suppuration	Ampina
pus.	Ampina
la plaie suppure.	Oloso wi kógwa ampina
Autre surnom dns Mpongwès.	Ampinè
nous allons et venons comme les feuilles d'igogo; nous sommes comme une hache à deux tranchants qui coupe des deux côtés.	Azwè n'Ampinè n'Ankovè, azwè n'igogo, azwè n'erèm̂i z'atanga
Nous sommes d'habiles courtiers.	Azwè n'Ampinè n'Ankovè, azwè n'igogo, azwè n'erèm̂i z'atanga
Grand	Ampolo
gros.	Ampolo
de grandes voiles.	Akuku ampolo
Honneur.	Ampóm̂u
insulter quelqu'un sur son honneur.	Tów'oma ampóm̂u
Affaire	Ampóm̂u
vengeance dont on charge un autre.	Ampóm̂u
sur ton honneur !  tue-moi un tel !	Ampóm̂u mó! naming'iyó na mi rer'iyó ! yona myè rè-kadyè !
Bénédiction.	Ampumbulya
bénir.	Pa ampubulya
recevoir la bénédiction.	Bonga ampubulya
Même sens que le précédent.	Ampundjïna
Sinuosités	Ampura
détours	Ampura
courbes	Ampura
méandres.	Ampura
cette rivière décrit de nombreux méandres	Olówi winó wi re ampura
ce chemin fait beaucoup de détours.	mpónó yinó yi re ampura am̂enge
Replis d'un reptile	̶Ampura
on ne suit paslepython dans ses détours.	Ombóm̂a awengo n'ampura
Combien ?	Amya ?
combien d'hommes ?	Anag'amya ?
combien de papayes ?	Alóló amya ?
Les hommes	Anaga
les gens.	Anaga
tout le monde.	Anaga waodu
gens de ma parenté, j'ai failli mourir.	Anag'iwam̂i! my'ato dyuwa!
Des hommes comme il faut sages, prudents, honorables.	Anag'anagye
Quatre.	Anaï
quatre femmes.	Anto anaï
quatre tourterelles.	Abembe anaï
quarante sardines.	Agom̂i m'imbèrè anaï
Cuit à l'eau.	Anambe
des bananes cuites à l'eau.	Akóndó anambe
Dieu	Anambyè
Dieu est.	Aṉambyè are
il n'y a qu'un seul Dieu.	Aṉambyè are móri dadyè
Dieu est grand.	Aṉambyè are ompolo (OU are vyagano)
Dieu est grand.	Aṉambyè are vyagano
Reflux	Anamya
marée descendante.	Anamya
Amandes de palmes.	Ananga
Interstices.	Ananga-nanga
les interstices des dents	Aṉanga-ṉanga m'anó
les interstices d'une fourehette	Aṉanga-ṉanga mi ntum̂a
les interstices d'un peigne	Aṉanga-ṉanga m'ezalina
Arrangement de cheveux	Anara
coiffure de femmes	Anara
arranger les cheveux en forme de coussinets.	Nogin'itwe aṉara
Douleur	Ańandi
chagrin	Ańandi
trouble	Ańandi
angoisse	Ańandi
souci.	Ańandi
être inquiet.	Taw'orèm̂a ańandi
j'ai le cœur brisé de douleur.	Orèm̂a wi tawina myè ańandi mbwa!
je suis très inquiet.	w'atawini myè anandi mbwa
les affres de la mort.	Ańandi m'idyuwa
Que?	Ande ?
Quoi?	Ande ?
Quelle chose?	Ande ?
qu'est-ce?	Ande ?
que veux-tu ?	O bel'ande ?
qu'est-ce ?	Ande zinó ?
qu'est-ce à dire ?	Ande mózó ?
que voulez-vous que je dise? je n'y vois pas d'inconvénients	My'are n'ande?
Beaucoup	Ande
très.	Ande
il est très gourmand	Are ogaso g'ande
Pourquoi?	Ande
pourquoi pleures-tu?	O den'ande?
pourquoi me frappes tu ?	O bola myè ande?
pourquoi ferme-t-on la porte ?	Iguge ṉi nundjo ande?
pourquoi ferme-t-on la porte ?	Iguge ṉi nundjo ni ntinande ?
pour­ quoi ces pleurs?	Edingo z'ande ?
pourquoi garder rancune?	Ngambi y'ande?
pourquoi?	N'ande?
pourquoi pas?	N'ande?
Sais-tu écrire?	O voro tende? N'ande?
Surnom donné aux Pahouins.	Andjona
Hypocrisie.	Andómbyani
a est hypocrite.	E dend'andómbyani
Grosses vagues	Andóngwè
rouleaux.	Andóngwè
la pirogue tangue.	Owaro wi sum̂ina n'andóngwè
Bulles d'air qui montent à la surface d'un liquide.	Andwandwa
des bulles d'air viennent du fond de la rivière.	Mbene yi denda andwandwa
l'eau, il a complètement disparu, on n'a plus vu que des bulles d'air qui remontaient.	G'aposwa Akama go mbene, vonani... kao andwandwa, dwa, dwa, dwa
Prompt	Anège
perçant	Anège
fin.	Anège
tu as des yeux perçants	O re antchó anège
tu as l'oreille fine.	O re aroï anège
Franges	Anègè
glands.	Anègè
les franges d'un bonnet	Aṉègè m'ipaki
les franges d'une ceinture.	Aṉègè m'otumba
les franges d'une nappe.	Aṉègè m'onambotavuru
Les anciens.	Anèró
l'ancien temps	Egómbe z'anèró
va appeler les anciens du village.	Gè feye anèró wi nkala
Bordure du toit	Anèza
gouttière.	Anèza
mettez toutes les marmites et toutes les touques sous la gouttière.	Lowani intchwana n'intchuga sodu g'anèza
Noctiluques	Angèni-ngèni
animalcules microscopiques phosphorescents	Angèni-ngèni
la mer a des reflets phosphorescents.	Mbene yi denda angèni-ngèni
Nom propre de l'esprit mauvais de l'air.	Angîndi
Coiffure de femmes.	Angó
arranger les cheveux en boules	Nogin'angó
arranger les cheveux en boules	Nogin'itwe angó
arranger les cheveux en boules	Pang'itwe angó
Plante des terrains bas, voisine du palmier, dont les feuilles servent à confectionner des toitures.	Angokolo
Chemise de laine rouge.	Angola
Branches menues	Angwangwa
brindilles.	Angwangwa
Urine.	Ani
avoir envie d'uriner.	Koto n'aṉi
Blennorrhagie	Ani
chaude-pisse.	Ani
avoir la chaude-pisse. Syn. Ozomba.	Dyogo aṉi
Gravelle	Ezanga z'ani
Rhumatisme chronique.	Aniko
Mauvais pressentiment.	Animâ
j'ai un mauvais pressentiment.	Mi dyèn'anim̂a
Variété de Palmier-Raphia;  avec les fibres de ses feuilles on fabrique des tissus et des costumes de danse	Animba
Nom propre de l'esprit mauvais de l'air.	Aninga
Eau	Aningo
de l'eau douce.	Aningo m'agèï
de l'eau salée	Aningo mi ṉanga
de l'eau de mer.	Aningo mi ṉanga
de l'eau froide.	Aningo minkèï
de l'eau chaude	Aningo mi mpyo
de l'eau tiède.	Aningo m'ontinti
cette eau est saumâtre	Aningo minó mi re izawuzawu
cette eau est amère	Aningo minó mi re izawuzawu
cette eau a un goût désagréable.	Aningo minó mi re izawuzawu
cette eau est claire	Aningo minó mi re zange
cette eau est limpide	Aningo minó mi re zange
cette eau est trouble.	Aningo minó mi re omburawure
donne moi de l'eau à boire.	Va myè aningo mi dyónga
donne moi de l'eau à boire	Miga vo aningo mi dyónga
chauffe-moi de l'eau.	Yógiza myè aningo
chauffe-moi de l'eau.	Yógiza myè aningo mi mpyo
