mbela    aigle criard
mbèwè yi swaka    la lame d'un couteau
mbezo    cru
mbezo    qui n'est pas cuit
mbezo    inaltéré
mbî    très nombreux
iṉa sinó si pare mbezo    ces mets ne sont pas cuits
akóndó m'afiṉe mbezo    les bananes n'ont pas été bien cuites
erere zinó zi pare mbezo    cet arbre est encore vert
ebende zi pare mbezo    le cadavre n'est pas encore décomposé
ashango wi pare mbî mbî, mbî    les ashangos sont encore très nombreux
mbiko    impureté
agali minó mi pare ni mbiko    cette huile n'est pas pure
mbila    noix de palme
mbila    palmistes
mbila    amandes de palme
mbilinga    acajou jaune, bon bois de charpente
kende mbogawoga    flâner
mbila-mbezo    assez grand arbre de la forêt
mbina    pou de tête
fine mbina    écraser un pou
mpańwè wi re mbin'okowa    les pahouins sont très nombreux
mbinde    antilope moyenne
mbinde    délayé
mbindji    chacal
mbipa    meurtrissure
mbipa    contusion
mbipa    ecchymose
ibeg'isè s'atweni simbipa sintevo    ses épaules sont toutes meurtries
mbisi    mauvaise dentition chez les enfants
om̂wa winó are anó mbisi    cet enfant a de mauvaises dents
mbita    nicotine
mbita y'ozó    nicotine qui découle d'une pipe
mbitókó    puce des poules
mbo    moustique
imbo si kamba myè g'aroï    les moustiques bourdonnent à mes oreilles
mbo    moustiquaire
mbo    plant de canne à sucre
bèn'imbo s'akoko    planter des boutures de cannes à sucre
mbogawoga    sans but déterminé
mbogina    clameur
mbogo    bouchée
mène mbogo y'iṉa    avaler une bouchée
pulye mbogo    rejeter une bouchée
mbógó    pêcherie
dowe mbógó    établir un campement de pêche
mbogozile    en vain, vainement, en pure perte
antȼó mi kógw'è mbógu    il a les yeux chassieux
mbógu    chassie
mbógu-inbógu    qui à la chassie
mboka    barbillon
mbólawólaga    en côtoyant
mbólawólaga    en longeant
owaro wi kènde mbólawólaga n'okozako    la pirogue contourne la rive
mbolo    vieux
mbolo-nèro    un vieillard
mbolo    mbolo-nèro
mbolo    bonjour
mbolo    salut
mbolo    bonsoir
mbolo yi nkolo!    bonsoir
mbólókó    sorte de siège
mbólu    grossièreté
mbólu    vilénie
mbólu    brigandage
móngi-ndjègó w'apakili imbólu sao    les hommes panthères ont commencé leurs méfaits
sak'oma mbólu y'orówo    accabler quelqu'un d'injures
are antȼó mbóndaga g'oboto-nkwane    il a les yeux rouges comme une mère perdrix
mbóndaga    rouge
mbónde    mûr
mbóne    pourri
mbila mbonde    une noix de palme mûre
mbum̂a mbóne    une tomate pourrie
mbonga    canard sauvage
mbóngini    manière de prendre
bóng'ezóm̂a mbóngini y'okuw'è    s'approprier un objet
mbóngó    antilope-cheval
mboni    variété de chèvre de l'afrique equatoriale
mboni    une bique
mbora    raison
mbora    motif
ekolombe zi mboni    un bouc
mbora    lieu
mbora    endroit
my'ayen'è go mbora    je l'ai vu quelque part
wute mbora yi re n'am̂ani, yi re yi zèle ni rere    cherche un endroit où il y a de l'herbe, où il n'y a pas d'arbres
mboro    grand arbre
mbowa    arbre à singes
mbowotwè    saleté
mbowotwè    malpropreté
mboyo    otocyon
mboyo    chien oreillard
mboza    arbre dont le bois sert à faire des lattes pour les cases en écorces
mbulyawóngó    herbe grimpante
mbulè    bouillie de bananes blettes
mbum̂a    tomate
mbum̂a    aubergine indigène
mbuku    tant pis
mbumba    arc-en-ciel
mbumba y'adyenani ti    l'arc-en-ciel paraît dans le ciel
mbumba y'ogwèli    halo lunaire
mbumba    monstre mythique
mbumba    fétiche de richesse qui impose l'obligation de tuer un de ses proches
mbumba y'idyana    talisman pour rendre les femmes fécondes et leur faciliter les accouchements
mbumba    variété de genette qui fréquente les camps de pêche
mbumba-nkwenkwe    espèce de grosse mouche
mbumbe    rat de maison
mbumbe-ntȼe    chant funèbre
móngi w'alongi w'atweni mbumbe-ntȼe    ceux qui nous ont précédés ici-bas sont retournés dans la terre
mbumbwaga    en sursaut
mbumbwaga    brusquement
mbunda    fétiche de guerre
mbunda    talisman contre les balles
mbundaki    dépensier
mbundaki    peu soigneux
mbungu    carie des dents
dyógó mbungu    souffrir de la carie dentaire
anó mè m'akoto ni mbungu    il a les dents cariées
m'pa dyene mbunini yi wèrè yenó    je n'ai jamais vu autant de poissons
vuginya yi re mbunini ṉenge    il y a une infinité d'insectes
mbûni    abondance
mbûni    grande quantité
awan'anom̂e winó wi pare simbunó g'ikèngè    ces jeunes gens sont encore novices dans leur métier de menuisiers
mbunu    cheville ou aiguille pour coudre les feuilles de raphia
mbura    fruit comestible
mburu    arbre du bord des eaux, à baies rouges
mburuzèwè    oiseau échassier
mbute ya pupu    une bouteille transparente
mbute ntevo    une bouteille vide
mbute    bouteille
mbute yi re otene    la bouteille n'est pas pleine
mbute ya vyó'vyó    une bouteille noire
otene wi mbute    une bouteille à moitié pleine
mbute y'ikwele    une bouteille renflée
nkèli yi mbute    un tesson de bouteille
egoro zi mbute    un paillon de bouteille
mbuwaka    acre
ivè ṉinó ṉi re mbuwaka    ce vin est acre
mbuwe    famille
mbuwe    clan
mbuwe    parenté
mbuwe yam̂i n'agulamba    de quel es-tu?
mbuyini    formule
mbuyini    manière de dire
mbuyini    manière de s'exprimer
mbuza    épervier
mbuza    péritoine
mbuza    membrane qui tapisse la cavité de l'abdomen
mbuza    grillage
noge mbuza    mailler un épervier
okwara wi mbuza    un moule à mailler
ntȼwana yi mbuza    une navette
mbwa    hyène
mbwa    un chien de garde
mbwa y'atanga    un chien d'europe
mbwa ya sita    un chien de chasse
mbwa yinó yi sunge dèng'anango    ce chien a du flair
mbwa yinó yi kómbiza    ce chien est un bon chien courant
mbwa yónó y'atombini ikoso g'igono    le chien est en arrêt
mbene yi mbwa    une mer démontée
mbwâ    diviser en deux
dyarune ntimbe mbwâ    fendre une planche d'un bout à l'autre
dyógó ogwèli mbwâ    quand la lune sera à son dernier quartier
kera go gare mbwâ    partager par le milieu
mbwanga-mbwanga    grand ouvert
mbwanga-mbwanga    effaré
mbwedî    prisonnier de guerre
mbwedî    captif
mbwègèzi    grande tortue de mer dont la chair est peu estimée
mbwèkó    inutilement
mbwèkó    sans résultat
mbwizi    féculent
ndongè yinó yi re mbwizi    cette racine de manioc doux est farineuse
móṉgó yi mbwizi    une igname farineuse
mbwó    arrivé
mbwó    étant arrivé
ndwanaga kè tu go tavuru    nous nous mîmes à table aussitôt
mbya    bien
mbya    bonheur
mbya    plaisir
mbya    goût
mbya yi noka yi re gwe?    à quoi bon mentir?
dyandyin'oma mbya    faire du bien à quelqu'un
mbya yi ntȼugu móri    un bonheur éphémère
dyene mbya y'eróngè    éprouver une joie passagère
ntȼèlèlè ayuwi ni mbya yi kómbiz'ogoni    la fourmi-blanche mourut à cause de rechercher le bien-être
azele ṉènè ni mbya y'oyino    il n'a plus de goût pour la danse
mi fè dyene mbya y'iṉa    je n'ai plus d'appétit
my'abeli mbya yi noge nago    si zele
ndo ngulu sila    je voudrais bien construire une case
abeli mbya polo yi dyene ntȼe yi fala    il a une grande envie de voir la france
osamuedu wi re n'imby'isè nimbe sè    toute chose a ses avantages et ses inconvénients
mbya yi dyandja n'osam̂u    l'utilité d'une chose
m'pa dyene mbya yi begiz'ikum̂e yi re yi dyólye punda go mbene    je ne vois pas l'utilité qu'il y a à faire abattre des ocoumés qu'on ne peut pas mettre à l'eau
ntȼe mbya yi dwano n'oma    un pays agréable à habiter
my'avili go nanipo ṉóngó mbya mbani    j'ai fait deux bons séjours à fernando-po
my'abole ndjali nènó winó mbyambye    j'ai tiré aujourd'hui un bon nombre de coups de fusils
w'adukakane poti mbyè    ils se sont cognés, la tête l'un contre l'autre
mbyèngè-mbyèngè    en grand apparat
oganga are n'imond'isè mbyèngè-mbyèngè    le sorcier porte sur lui tous ses fétiches
my'adyen'oga are mpanga yi sika mbyèngè-mbyèngè    j'ai vu le chef paré d'une chaîne de montre en or
mbyeni    arrivée
mbyeni    en tas
mbyeni mèyónó yi re, ko fè bya, yi zele mbya    ce n'est pas bien de venir ainsi sans être appelé
mbyeni yam̂i móri yó mèyónó    j'arrivai sur ces entrefaites
my'aduuno oyónga-yóngo om̂wcnge go tavuru mbyó    j'ai trouvé de la boisson sur la table, en veux-tu, en voilà
igumba ṉi re go nago mbyó    les marchandises sont entassées dans la maison
mbyogo    renvoi
mbyogo    rot
byoge mbyogo    roter
me ?    quel ?
me ?    quelle ?
asango m'atwanondó myè me me?    où sont les présents que tu m'as apportés?
mè    de lui
mè    à lui
mè    d'elle
mè    à elle
g'egombe mèzónó    en ce temps-là
myè mè    moi-même
myè buya yenó    c'est moi-même qui ai dit cela
go nkal'iyè mè    dans son propre village
go nkal'iyè mè    dans son village même
oma mèwónó are kao mègaga    cet homme ne fait que sommeiller
elómbè mèzónó zi mègiz'anaga    c'est une his toire soporifique
mègina zefosam̂u, g'aviṉi myè go nagw'am̂i    j'ai attendu longtemps en vain, et je suis revenu chez moi
pang'oma mègina ṉawèṉawè    faire attendre quelqu'un inutilement
mpóṉó yi zele mègo    il n'y a pas de chemin de ce côté-là
opepe winó w'amèkwi    ce plant de bananier penche
mèm̂'ogara    avouer ses torts
mèm̂a gor'oma    avouer à quelqu'un
am̂èm̂i nè ayè dyufa    il avoue avoir volé
mèm̂a go dend'osam̂u    s'engager à faire un travail
mèm̂e mpungu    prendre une dette à son compte
mèm̂'indjuke s'oma    se charger de l'entretien d'une personne
mèm̂in'oma inwana    se porter garant d'une dette
mèm̂in'oma g'ozózó    témoigner pour quelqu'un
mèga    sommeiller
mèga    somnoler
mègîna    attendre longtemps
mègo    là-bas
mèkèlya    approuver
mèkèlya    consentir
mèkèlya    permettre
mèkwa    etre incliné
mèkwa    être penché
mèkuna    incliner
mèkuna    pencher
mèm̂a    avouer
mèm̂a    confesser
memina    répondre pour
mèmè    réussi
mèmè    bien exécuté
mèmè    parfait
mèmè    parfaite
igewa ṉa mèmè    une joie parfaite
mémo    le même
ombom̂a mèmo    le même serpent boa
mèmó    cet
mèmó    cette
mèmó    ces crabes
mèmó    voilà
mèmó    le voilà
mèmó    la voilà
agali mó    voici ton huile
manga e 'mènaga go mbene-ntȼe    un lamantin n'avale jamais au fond de l'eau
ntȼèngè yi mèn'aningo    le sable absorbe l'eau
dyógó om̂'aduka go kamba n'oma    ko donge mèna
mèna n'oma    s'habituer à quelqu'un
mèna go dend'osam̂u    s'habituer à un travail
mèna ni ntȼe    s'acclimater à un pays
ombóm̂a n'ombóm̂a w'am̂ènane    les pythons ne s'avalent pas entre eux
wi be 'dambe mènana    ils ne tarderont pas à s'habituer l'un à l'autre
mènize nkèm̂a    apprivoiser un singe
mena    avaler
mena    absorber
menda    hachette
mèndè    argile
mèndjeni    voile trapézoïdale
mèndjeni yi kótè    la brigantine d'un cotre
mène    demain soir
mène y'awendja    dans la journée de demain
mènè    après-demain
ogèndó wè wi re kao mènè mènè, mbani, mbani    il renvoie toujours son voyage au lendemain
menga    pigeon vert
menga    pigeon ramier
menga    pigeon domestique
ipa ṉ'imenga    une bande de pigeons verts
mèngè    grand arbre à bois dur
mèngèlè    spirale
fize ntȼóngó yi mèngèlè    enfoncer une vis
om̂wanga wi fiz'imèngèlè    un tourne-vis
tum̂'oma mengo    donner un coup de corne à quelqu'un
pagine mengo yi ńango    faire une amu lette avec une corne
mengo y'iṉa ibe    amulette qui est censée neutraliser l'effet des empoisonnements
mengo    corne
mèninó    le voici
mèninó    la voici
ṉó mèṉinó    cet œuf, le voici
ido mèṉinó    cette pierre-ci
ṉó mèṉó    ta papaye, la voilà là-bas
awo-ng'iyó w'amèpani wye?    est-ce que tes frères se sont réconciliés?
ibembe mèṉó    cette tourterelle là-bas
owendja w'amèpi    le temps se met au beau
mèpa waomè kènda gogo    il vaut mieux qu'ils y aillent eux-mêmes
tavuru yi mèpe nkowa móri go    la table ferait mieux de ce côté là-bas
nkèmbó mèyónó yi mèpa n'awè    ce costume te va bien
iṉa si 'mèpa n'ezang'ezenge    il n'est pas bon de trop saler les mets
dyógó oma e dyógó, mèpa ayè dyingiz'okuwa    quand on est malade, il est bon de se faire soigner
móngi wi mèpino n'isam̂u    ceux à qui tout réussît
ewilo mèzónó z'amèpini myè    ce travail m'a réussi
ntongo e mèpina g'agó mi ngani    le bâton devient moins rude dans les mains d'autrui
mèpiz'orèm̂a    rassurer quelqu'un
mèpiz'orèm̂a    contenter quelqu'un
mèpiz'orèm̂a    rendre meilleur quelqu'un
oma mèwónó are mèpe tènda    cet homme écrit comme il faut
olonda winó wi re mèpe ṉo    ce fruit est très bon à manger
ṉóni mèyónó yi re n'iṉoï iwya ṉi mèpe poganyo    cet oiseau a une jolie voix, qui fait plaisir à écouter
nago mèyónó yi re mèpini mbya    cette maison est bien belle
go meriki    en amérique
om̂wo-meriki    un américain
menye    tant
menye    au nombre de
mèpa    s'améliorer
mèpana    sympathiser ensemble
mèpana    se réconcilier
mèpini    beauté
merikî    amérique
meriki    des américains
idega s'akambondó só mèsinó    les biscuits dont tu as parlé, les voici
iṉóni só mèsó    les oiseaux, les voilà là-bas
só mèsónó si re g'ozègè    ces vaches, les voilà là-bas sur la plage
intȼozo mèsónó si pa keka g'agolo mam̂i    ces souliers-là, ne vont pas à mes pieds
osamu w'atweni go mètèmètè    l'affaire se corse
nkani y'atweni go mètèmètè    son mal empire, il est en danger de mort
mèvó    là
anom̂e w'atom̂o n'oga wao mèwinó    voici les hommes que le chef a envoyés
ozó wó    voilà ta pipe là-bas
okendja mèwónó w'adyuwi vye?    est-ce que ce serpent jaune est crevé ?
ogènda mèwónó are gwe ?    où est cet étranger ?
mandè mèwónó kènda ?    qui va là ?
yó mèyó yi re go    tes nattes, les voilà là-bas
