dólè    dollar
egombe zodu    en tout temps
duba    honorer
duba    témoigner du respect
lube rer'iyó ni ng'iyó    honore tes parents
anèró wi ga lubago    il faut respecter les vieillards
dubwa    partir de
dubwa    quitter
dubwa go mbora    quitter une place
dubwa go ntchogo    sortir de prison
dubwa g'ezango    quitter l'école
dubwa g'ewilo    abandonner un emploi
dubwa g'idyomba    divorcer
dubwa gor'onom̂e    divorcer
inó ṉ'adubwi du iubu    la dent est tombée
dubwino n'iṉem̂e    avorter
dubwino n'ogu    perdre la raison
dubwino n'ife    n'avoir plus la fièvre
dudyo    se lasser de
dudyo n'ewilo    en avoir assez d'un travail
dudyo ni nkani    être ennuyé d'une maladie
dudyo n'oma    être fatigué de quelqu'un
dudyo ndudini mbe    être profondément dégoûté
dudyo ndudini mbe    écœuré
my'adudyo wè n'ibek'iṉó mèṉónó    je suis fatigué d'entendre ton accordéon
duga    arriver à l'âge de puberté
duga    être pubère
dugiz'okuwa    poser
dugiz'okuwa    prendre un air affecté
duke nago    cogner
duke nago    frapper bruyamment à une porte
duk'iguge    cogner
duka g'ozira    heurter un mur
nag'wam̂i yi duk'iyó    ma case est contigue à la tienne
om'e duke komanda    celui qui vient après le commandant
om'e duke ngówè y'owatanga    le second après le capitaine d'un navire
myè duke rè-ndjogo    je viens après mon frère rè-ndjogo
duke mbute    boire au goulot d'une bouteille
duke mbute    boire au goulot d'une touque
duke mbute    boire au goulot
dukakana    se heurter
dukakana    trinquer
dukakana    régler
dukakana    combiner
dukakana    préparer
dukakana    se concerter
dukakana    ajuster
dukakana    assembler
dukakana    d'une robe
am̂aro ambani m'adukakana du kû    les deux pirogues se sont entre-choquées
dukakane lasi    trinquer
dukakan'osam̂u    combiner une affaire
dukakan'osam̂u    concerter un voyage
dukakan'intango    régler des comptes
dukakan'epoti n'okuku w'okuwa    réunir de nouveau la tête au tronc
ambe n'ambe mi dukakana    toute mauvaise action mérite un châtiment
duku    etoffe de traite
duku    bonnet de coton
dukwalukwa    être au paroxysme de la colère
dukwalukwa    être hors de soi
dukwalukwa n'egunu    ne plus se posséder
dukwalukwa n'egunu    trépigner
twa n'egunu ndukwalukwaga    ne plus se posséder
twa n'egunu ndukwalukwaga    trépigner
dula    arracher
dula    cueillir avec la main
dula    de l'herbe
dula    une tique
dula    lever l'ancre
dule ntȼóngó    arracher un clou
dule nkova    une dent
dule ntogolo    cueillir du piment
dule imbuma    cueillir des tomates
dule nago    transporter une case
dule nago    enlever une case
lulina myè sinèfu    cueille-moi des gombos
duliz'am̂ani    faire arracher des herbes
dum̂a    enfler
dum̂a    être enflé
dum̂a    gonfler
dum̂a    croître
dum̂a    augmenter
dum̂a    être très connu
dum̂a    avoir de la gloire
dum̂a    être célèbre
agolo m'adum̂i ntèn    les jambes sont enflées
eningo zi dum̂a    les eaux grossissent
eningo zi dum̂a    la rivière croît
oga mèwónó e dum̂a mbyambye    ce chef est célèbre
dum̂a n'osam̂u    avoir la gloire d'une action
dum̂a n'eyónga    être connu comme un ivrogne
ogolo w'adum̂ini myè    ma jambe est enflée
ebende z'adum̂ini    le cadavre gonfle
okewa w'adum̂ini    la mer est agitée
ogowè w'adum̂ini    les eaux de l'ogowè montent
orèm̂a wi dum̂ina myè    j'ai des haut-le-cœur
orèm̂a wi dum̂ina myè    le cœur me soulève
oloso winó w'adum̂izi myè ogolo    cette plaie a fait enfler ma jambe
ompunga wi dum̂iz'akuku    le vent gonfle les voiles
dum̂iz'aṉambyè    rendre gloire à dieu
dum̂angana    enfler
dum̂angana    être enflé
dum̂angana    gonfler
ogolo wodu w'adum̂angani    toute la jambe est enflée
inkova s'adum̂angani myè ogó    les tiques ont fait enfler mon bras
nkani y'eningo yi dumangany'okuwa    l'hydropisie bouffit le corps
dumba    attaquer
dumba    assaillir
dumba    surprendre
dumba    arriver à l'improviste
dumba    étonné
dumb'oma g'igówi    attaquer à l'improviste
dumb'oma suku    surprendre quelqu'un
mi be dumbo nè o kènd'ogèndó mèwóńó    je serais bien surpris si tu faisais ce voyage
dumbo tevo, g'awye pakasondè    il apparut soudain
dumbula    flamber
dumbula    flamboyer
dumbula    brûler
dumbula    harceler
dumbula    talonner
ogoni wi dumbula    le feu flambe
ongóm̂u kè dungè    ongomou arriva à l'improviste
m'bȼ duo gogo mène    je serai là-bas demain
m'be duo mi ṉa    je mangerai
m'be 'duo mi ṉa    je ne mangerai pas
m'be duo my'atèndi    j'aurai déjà écrit
m'be duo my'atèndi    je n'aurai pas déjà écrit
mi to duo mi dyandja    si je travaillais
mi to duo my'ayandja    si je ne travaillais pas
mi to duo my'akèndi    si par hasard j'étais parti
mi to duo m'pa kènda    si par hasard je n'étais pas parti
dura    entraîner
dura    tirer à soi
dura    bouder
dura    appeler
dura    citer
dura    aspirer
dura    attirer l'air avec la bouche
dur'ogóli    tirer sur une corde
dur'elowa    tirer sur la senne
dur'elowa    tirer la senne
ngóm̂a y'aduro isila    le tamtam est très serré
dur'om̂wana aroï    tirer les oreilles à un enfant
dur'inumbu    bouder
dur'ozózó    s'attirer un procès
dur'ozózó    causer une guerre
dur'oma g'ozózó    appeler quelqu'un en justice
dur'om̂wèï    aspirer
durana g'om̂wandja w'ipa    se disputer au sujet d'un paiement
durana g'om̂wandja w'igolo    se disputer au sujet d'un achat
durin'om̂amba    charmer un serpent
duriny'agènda go nago    attirer des étrangers chez soi
duriny'oma    faire les premières avances à quelqu'un
durangana    haler
durangana    tirer avec force
durangana    traîner après soi
durangana    entraîner
nkawala yi durangane ntȼone    le cheval traîne la voiture
owatanga wi durangane ṉilo    le navire chasse sur ses ancres
durangan'oma go ntȼogo    traîner quelqu'un en prison
durangan'oma go dyuîa    entraîner quelqu'un au vol
lutuna dutu    arrache avec toutes les racines
dutwa    déloger
dutwa    se sauver
dutwa    déguerpir
dutwa    se lever
dutwa    déraciner
g'awye dutwi myè dutu, awye kamba    je me levai vivement pour parler
dutun'oma    faire lever quelqu'un
duuno    rencontrer
duuno    trouver
duuno    surprendre
duuno    tremper
duuno    mouiller
duuno    plonger
my'aduuno yè e dyufa    je l'ai pris en flagrant délit de vol
my'duuno yè g'ikasa    je l'ai trouvé au marché
duwy'ikóndó g'om̂wèmbó    tremper une banane dans la sauce
duwy'ogum̂a g'ezanga    prendre du sel avec son manioc
duwy'ovèra wi tèndina go mpira    tremper sa plume dans l'encre
dwa    être
dwa    demeurer
dwa    se tenir
ewèrè zinó z'adweni    cette viande est passée
ebende z'adweni    le cadavre commence à sentir
ninya go mbene dwa    disparaître sous l'eau
inkavi dwa    enfoncez vos pagaïes
dwana    n'être
dwana    demeurer
dwana    se tenir
m'be dwana my'aṉa ni ntinande ?    pourquoi resterai-je sans manger ?
dwan'em̂èno ewya    mener une heureuse existence
dwana g'epwe    s'asseoir sur une chaise
nago yinó yi be dwane nago mbya    cette maison sera belle
dwana n'om̂wanto    séduire une femme
m'pa bónga nè mbal'wam̂i e be dwana    je ne pense pas que mon oncle guérisse
lwana gore    tiens-toi debout
lwana akótóló    mets-toi à genoux
lwana bala    sois attentif
lwana kendekende    ne remue pas
lwana mbyambye ge    tiens-toi donc comme il faut
my'ayólye dwane my'agamba    je ne puis rester sans parler
egombe z'adwanaga myè my'arèndin'è    quand je ne lui écrivais pas
dwèrè    sérieux
dwèrè    sage
dwèrè    réfléchi
dwèrè    pondéré
dwèrè    pondérée
oma mèwónó are dwèrè osam̂u    cet homme est très sérieux
oma wa dwèrè    une personne sérieuse
dyandj'isam̂u dwèrè    se bien conduire
dyaga    étaler
dyaga    étendre
dyag'owèló    donner une couche de peinture
dyage ntȼongi    souder
em̂ènó z'aṉambyè zi ga yage g'anin'im̂ani    que la vie de dieu se répande dans vos âmes
imóngó s'adyagayagi    les patates s'étendent sur le sol
dyagim̂ya    s'éveiller
dyagim̂ya    sortir du sommeil
dyagim̂ya    soulever légèrement
dyagim̂ya    souquer
dyagim̂ya    faire effort
dyagim̂ya    dégourdir
dyagim̂ya    exciter
dyagim̂ya    rechuter
dyagim̂ya    embraser
dyagim̂ya    échauffer
dyagim̂ya    aviver
ibanga    de grand matin
ibanga    dès la première heure
ibanga    dans la matinée
yagim̂yare égara mèzóṉó    soulève un peu cette caisse
my'apile dyagim̂ya wao    je suis allé les secouer
dyagim̂y'okuwa g'ewilo    travailler avec un peu plus d'énergie
dyagim̂y'irèm̂a    enflammer les cœurs
dyagim̂ya idyivira    ranimer sa foi
dyagya-yagya    publier
dyagya-yagya    faire connaître
dyagya-yagya    se répandre
dyagya-yagya    se divulguer
dyagyayagye ntȼango    publier une nouvelle
dyagyayagye agamba m'aṉambyè mboredu    propager les vérités religieuses en tous lieux
dyagyayagy'erungu    crier un secret sur tous les toits
dyaguna    commencer à marcher
dyaguna    marcher à quatre pattes
dyagune nomba    gravir péniblement une montagne
pande nomba ndyagunaga    gravir péniblement une montagne
dyaka    se corser
dyaka    chauffer
dyaka    accrocher
dyaka    suspendre
dyaka    s'habiller coquettement
mbuza y'adyaki g'ado    le filet s'est accroché aux roches
yeno y'antȼó yi ndyakizaga    des lunettes à branches
dyakize ngóï-koto go ngórókó    accroche un veston au porte-manteau
dyakiz'oramba    donner un croc-en-jambe
om̂wanga wi dyakize yóma    un crampon
dyakiz'epoloko dyaka    porter fièrement son chapeau
oma mèwónó are du g'alugu dyaka    cet homme s'obstine à boire de l'alcool
dyakilya g'iga dyaki    parcourir la forêt dans tous les sens
dyakllya    aller de côté et d'autre
dyakllya    errer
dyakllya    vagabonder
dyakllya    flâner
dyakllya    se prostituer
dyakllya    se débaucher
dyakilya g'anóngó    voyager d'un pays à l'autre
dyakilya g'anóngó    errer en tous lieux
dyale    évasé
dyale    large
dyale    affable
dyale    accueillant
dyale    poli
dyapa yi re dyale    la corbeille est évasée
rogombe are dyale n'anaga    rogombé fait bon accueil aux gens
dyam̂a    descendre
dyam̂a    se retirer
dyam̂a    baisser
dyam̂a    glisser
dyam̂a    déchoir
dyam̂a    être en décadence
owarotutu w'adyam̂i go mandji    le bateau à vapeur est descendu à port-gentil
dyam̂ina g'odo    glisser de son lit
oma mèwónó adyam̂ini    cet homme est déchu
nkala mèyónó y'adyam̂ini    ce village est en décadence
dyam̂iz'owaro wi vila    faire descendre une pirogue chargée d'ébène
dyam̂iz'owaro bunda y'ikume    faire descendre une pirogue chargée des billes d'ocoumés
dyǻm̂iz'isangala    placer une fenêtre plus bas
dyamba    brûler
dyamba    être corrosif
ntogolo yi dyamb'irevo    le piment pique
nango yinó yi dyamb'irevo    ce remède est corrosif
dyambina    envahir
dyambina    se répandre sur
isózè s'adyambini g'igówi    les soldats ont envahi le pays
intȼunu s'adyambini ni nkala yodu    les fourmis voyageuses ont envahi tout le village
dyambwa    submergé
nkala y'adyambwi du yambu    le village est entièrement inondé
dyambwa    inonder
dyambwa    submerger
dyambwa    déborder
ogowè w'adyambunya mbyambye    cette année l'ogowè a beaucoup débordé
mpónó yi lambaréné yi dyambwayambwa    la route de lambaréné est souvent inondée
eningo z'adyambuni orove wodu    la crue de la rivière, a inondé toute la plaine
ningo y'adyambuni olówi    la pluie a fait déborder la rivière
dyam̂u    placé trop bas
isangaia ṉi re dyam̂u    la fenêtre est placée trop bas
dyana    enfanter
dyana    mettre au monde
dyana    donner le jour
dyana    produire
rere yinó yi dyan'ilonda imbya    ces arbres produisent de bons fruits
ogowè e dyane nguṉi    l'ogowè reçoit là la ngouniè
dyanan'awana    avoir des enfants ensemble
anto wi dyaniza    des sages-femmes
dyanize vuginya    faire de l'élevage
sunó ayano n'azwè    souno est notre parente
azw'ayano    nous sommes parents
azw'are sidyano    nous sommes parents
dyandja    travailler
dyandja    faire un ouvrage
dyandja    manger
dyandja    être à table
dyandja    être employé chez
dyandja    travailler pour
yandj'ewilo zó mbyambye    fais bien ton travail
oga e pe dyandja    le chef est encore à table
dyandjiz'anaga go ntȼaga    faire travailler des ouvriers dans une plantation
dyanga    passer légèrement au feu
dyanga    flamber
dyanga    produire une sensation de brûlure
dyanga    être roulé
dyanga    ne pas pouvoir se tirer d'affaire
dyang' owavi w'ikóndó    attendrir une feuille de bananier au feu
dyange ntori    flamber un rat-palmiste
dyang'owaro    flamber une pirogue
edyamba zi dyanga    la piqûre de l'ortie produit une cuisson douloureuse
dyanginya    se fondre
dyanginya    la graisse
dyanginya    flotter
dyanginya    surnager
dyanginya    être à flot
ikum̂e yi dyanginya go mbene    les billes d'ocoumé flottent sur l'eau
eduge zi dyanginya    le bouchon de liège surnage
owatanga w'aduo w'asigi go ntomba    le navire avait échoué sur un banc de sable, mais il est de nouveau à flot
dyango-dyango    peu à peu
dyango-dyango    petit à petit
dyangunya    réchauffer
dyanguny'ewilyè    réchauffer les restes du repas
dyangunya    ressusciter
dyangunya    reprendre
dyangunya    réveiller
dyanguny'ozózó    igamba recommencer un procès
dyanguny'ozózó    réveiller une affaire
dyano    caractère
dyanya    étaler
dyanya    entendre
dyanya    déployer
dyanya    raconter
yanya ingóï go' om̂wèï    étends le linge au soleil
dyany'etava go ndèkè    étendre une natte sur le parquet
iruwani ṉ'adyani ampava    le pélican a déployé ses ailes
dyany'ilamba    en conter de belles
dyao    hier
dyao    en un rien de temps
dyao    au moment même
omwana ni bye tig'okuwa, rerè adèky'è dyao ga dyóni    dès que l'enfant se laissa choir, au moment même son père le saisit
dyao ni dyoni g'ayano wè, o bele tevuna myè    tu es né d'hier, et tu veux me donner des conseils
dyara    fouler
dyara    marcher sur
dyar'om̂amba    marcher sur un serpent
aduma wi dyar'imbila n'agolo    les adoumas foulent les noix de palmes
my'adyara intȼozo sè lya    j'ai suivi ses traces pas à pas
om̂'adyari myè g'intȼozo    tu as séduit ma femme
dyarinya    parler posément
dyarinya    peser ses mots
dyariny' ikamba    parler sans se presser
kamba ge dyarinyaga    parler sans se presser
dyarwa    se fendre
dyarwa    se diviser
dyarwa    se fractionner
dyarwa    fendre
dyarwa    débiter
dyarwa    diviser
dyarwa    produire la discorde
ido n'adyarwi mbwa    la pierre s'est fendue en deux
mbute y'adyarwi ogèla    la bouteille est fêlée
odo w'owaro wi re dyarwa-pa    le fond de la pirogue est fendue
dyarw'epoti    se fendre la tête
ogwèli w'adyarwi    la lune est à son dernier quartier
nkala y'adyarwi nkumba mbani    le village est divisé en deux
om̂wèï wi dyarun'impundu s'ikume    le soleil fait fendre les billes d'ocoumé
dyarun'ikoni    fendre du bois pour la cuisine
dyarun'ipa go garegare    donner une partie du paiement
dyaruno gor'oganga    être opéré
edungu mèzónó z'adyaruni nkala ce palabre a mis la discorde dans le village
