sukum̂y'osam̂u    préciser un fait
sun'oma erungu    un complot
okuwa wodu wi sunazuna myè    je sens des picotements sur tout le corps
sunda    végéter
sunda    ne pas pousser franchement
ikóndó ṉinó ṉ'asundi    ce bananier végète
rere yinó y'asindi    ces arbres végètent
sundja    serrer
sundj'oma inó zwè    mordre quelqu'un fort
sundja    cingler
sundja    appliquer fortement
sundja    éprouver des crispations
sundja    éprouver des convulsions
zundj'ogóli tȼwi    serre bien la corde
ngóï ymó yi sundja myè ompele    cet habit me serre le cou
sundje buru mpava g'okóngó dè tȼwi    cingler le dos d'un âne à coups de fouet
sundja tȼwi    avoir, des spasmes
okuwa wi sundjin'è    il a des convulsions
sunga    prêter
sunga    louer
sung'oma nago    louer sa maison à quelqu'un
sungakana    se disputer
sungakana    rivaliser
sungakana    piller
sungakana    contester
sungakana igum̂a    se disputer du manioc
sungakan'eka    se disputer l'autorité
enom̂o z'atweni go sungakana ni ntȼandja    la saison sèche empiète sur la saison des pluies
sungakan'agamba    discuter
sungakan'agamba    chercher à avoir le dernier mot
m'pa sungakana na wè    je ne veux pas discuter avec toi
anwè sunge nènge fala yenó sè?    comment avez-vous appris le français si vite?
sungina    sauver
sungina    tirer d'un mauvais pas
sungina    tirer d'un péril
kókóló! zungina myè!    s'il te plaît tire-moi de ce mauvais pas
sungin'inina    sauver son âme
sungin'oma wi re dyila-pa    sauver quelqu'un du naufrage
supè    morne
supè    pensif
supè    silencieux
surya    scruter
surya    examiner
surya    approfondir
surya    contrôler
zury'osam̂u mèwónó mbyambye    approfondis bien cette question
sury'ewilo zi kyapindi    connaître parfaitement son métier de charpentier
my'abya go surya idyandy'isó    je viens contrôler ce que tu fais
sury'oma inoka    convaincre quelqu'un de mensonge

susa gór'oma    approcher de quelqu'un
pyèrè n'oma    approcher de quelqu'un
susa n'oma ta    approcher tout près de quelqu'un
gor'omà barata    approcher tout près de quelqu'un
susa    approche-moi cette caisse par ici
susa    réfuter
susa    acculer
susa    confondre
susa    réduire au silence
zusa myè égara mèsónó gunu    approche-moi cette caisse par ici
mi dyólye susa pyèrè n'oga    je n'ai pas pu aborder le chef
ntȼuwa y'asusi    la mer gagne
sus'oma inoka    montrer la fausseté de ce que quelqu'un avance
susum̂ye ńómbi    accorder une guitare
susum̂ye ńómbi    accorder un piano
suta    mettre le feu
suta    incendier
suta    se cogner
sut'oma ogoni    appliquer un tison enflammé sur quelqu'un
sut'oma ndjali nsutaga    tirer un coup de fusil à bout portant
sutan'indjali    se tirer des coups de fusil à bout portant
sutan'igówi    en venir aux mains
w'azutani dyao    ils se sont battus hier
suwa    mettre le feu
suwa    incendier
suw'ogoni g'orove    mettre le feu à la savane
suza    être resserré
suza    resserrer
suza    rétrécir
olówi w'asuzi    cette rivière est peu large
suza    serrer
suza    sangler
suz'okuwa    sangler la taille
ambènè    sangler la taille
suza    enserrer
suza    encercler
suza    cerner
anwè suza myè yenó sè?    pourquoi vous pressez-vous ainsi autour de moi?
epokolo zinó zi suza myè polo    ce chapeau est trop étroit pour moi
ompele wi ngóï-koto    rétrécir une robe, le col d'un veston
suz'otumba    serrer fortement sa ceinture
ipolèsi s'asuzi mtingi mèsónó    les policeman ont cerné ces gens-là
suzana gore oma    se presser autour de quelqu'un
suzana g'ikasa    aller ou être en foule au marché
suzana g'ikasa    aller ou être en foule au débarcadère
agenda wi suzana polo go nka mèyónó    les étrangers affluent dans ce village
mpongwè waodu wi re suzana-pe mbora mo    tous les mpongouès sont groupés sur un territoire peu étendu
iṉóni s'asuzani mbora mo n'ife    les oiseaux se serrent les uns contre les autres, à cause du froid
zuzina myè ngóï mèyónó    rétrécis-moi cet habit
swa    couper le sous-bois
swa    débroussailler
swa    déiricher
swa    plumer
swa    déplumer
swa abaka    couper à la machette
swe mpónó    débroussailler un sentier
zwena myè ntȼaga yinó    coupe-moi le sous-bois de cette plantation
swez'iga    faire couper le sous-bois
swaka mpure    couteau de poche
sweza    faire couper le sous-bois
swaka    couteau
swaka yi tavuru    couteau de table
swaka yi pènèfu    canif
swaka y'imbèrè    couteau de traite
swaka nda    couteau à découper
swaka y'oianda    couteau de boucher
swaka y'oianda    coutelas
swaka yi nambina    couteau de cuisine
swaka yi yango    coupe-papier
swakaka    elevé
swakaka    élancé
iṉèngó ṉi re swakaka    le poteau se dresse tout droit
oyila wi re g'orove swakaka    le palmier émerge tout droit au milieu de la savane
nago y'agelenge yi re g'igono swakaka    ce clocher est très élevé
idyomba mèsónó si zele swasó si zele kwèkwè    ce mariage est mal assorti
swasó    en face de
swasó ni nago yó    en face de cette case-là
lowa'akótóló swasó ni krusu    mets-toi à genoux devant la croix
swaswa    incisive
atótó mi re mbóndaga swengene    les bananes douces sont toutes jaunes
okowa winó are ebanda swengene    ce pygmée à la peau toute jaune
atweni okuwa wodu swengene n'ogoni w'apez'è    sa peau a des rougeurs de brûlure
sweswe    qui n'est pas de sang mêlé
sweswe    pur
otangani wa sweswe    un vrai blanc
swengene    rouge
sya    père
om̂wan'iwó e 'ta polo go bele nèng'ezango    ton enfant ne se soucie guère d'apprendre à lire
orèm̂'iwó wi 'te mbora ṉènè kao go dyufa    tu ne songes guère qu'à voler
ta    chasser
ta    poursuivre le gibier
nan'agolo ta    dormir les pieds joints
dwan'agolo ta    joindre les pieds
ta    tout près
arina m'imba mónó mi re ta ta, ta, ces tiges de maïs sont très serrées
ta    près
dwana n'oma ta    ne pas quitter quelqu'un d'une semelle
datiz'intȼómè ta    joindre les mains
cela m'est égal    je m'en moque
ṉóni yónó yi dogwa ta ni ntȼe    cet oiseau vole au ras de terre
mbwa y'atudani n-yè ogó tado    le chien m'a enlevé un morceau de chair au bras
tadwa    s'arracher
tadwa    se rompre
ngóï-sótu yam̂i y'atadwi ṉóngè yodu    tout le fil de ma chemise s'est rompu
tadun'aroki modu tado    arracher tous les boutons
ndjègó y'ataduni nkambi izone yodu tado    le léopard a mis l'antilope en pièces
taduna    arracher
taduna    enlever par force
taduna    rompre
taga    lier
taga    garotter
taga    ficeler
taga    se compliquer
taga    être discordant
igóndji ṉ'atagani ragane    la ficelle est embrouillée
mbora mèyónó yi re rere tagana-pa n'igóli    il y a dans cet endroit un fouillis inextricable d'arbres et de lianes
nando y'atagani g'ovya    le crocodile s'est entortillé dans le trémail
ozózó mèwónó w'atagani    cette affaire se complique
awo-ngwè mèwónó awani wi dwana kao ntaganaga    ces deux frères sont toujours à se quereller
awè panga zwè tagana n'inok'isó    c'est toi qui nous a brouillés avec tes menteries
tagala-tagala    embrouillé
tagala-tagala    compliqué
tagala-tagala    enchevêtré
osam̂u mèwónó wi re tagala-tagala    cette affaire est embrouillée
onèm̂è wi fala wi re tagala-tagala    la langue française est compliquée
igóli yi re g'iga tagala-tagala    les lianes forment dans la forêt des amoncellements inextricables
tagum̂a    palpiter
tagum̂a    battre
orèm̂a wi pè tagum̂a    le cœur bat encore un peu
taka    envahir
tako n'iṉowe    être poursuivi par les abeilles
takilya    exposer
takilya    raconter
takilya    détailler
takily'ozózó    exposer un palabre
takily'osam̂u    raconter ce qui s'est passé
takiiya g'om̂wandja w'oma    témoigner en faveur de quelqu'un
tako    tabac
tako y'ompombo    du tabac à priser
tako y'atanga    tabac importé
tako yi mbogaga    du tabac à chiquer
tako yi dyónga    du tabac à fumer
ebata zi tako    du tabac natté
papa yi tako    un paquet de tabac
boge tako    chiquer
dyónge tako    fumer
tako-akukwè    herbe rudérale à tige laineuse
tako y'abamnbo    plante vivace
tako-y'orove    plante vivace, à tige velue et feuilles rugueuses
talwa    sortir de l'eau
talwa    revenir à terre
talwa    cesser
talwa    retirer
talwa    débarquer
talwa    faire sortir
talwa g'isóvuna    sortir du bain
ndjógu y'atalwi g'ombóna    l'éléphant est sorti du bourbier
talwa go nkala    se rendre (de la plage ou du débarcadère) au village
talwa go ntȼe    revenir à terre ou aller dans l'intérieur
talun'oma go mbene    retirer quelqu'un de l'eau
talun'akóndó go ntȼwana    sortir des bananes d'une marmite
talune wèrè g'epèlè    servir du poisson dans une assiette
taluna    retirer
taluna    débarquer
taluna    faire sortir
talya    poser sur
talya    mettre sur
talya    superposer
talya    remblayer
talya    combler
taly'oma ogó g'ewondjo    poser la main sur la tête de quelqu'un
aryalyani agolo go tavuru    ne posez pas les pieds sur la table
taly'ipuka s'ezanga ralya-ralyano    entasser des sacs de sel les uns sur les autres
oloso w'atali    la plaie se cicatrise
talya ntȼèmbó gor'oma om̂wènè    rejeter une faute sur autrui
nkóndjè yi re anó tatyana-pa    le requin a les dents disposées sur plu sieurs rangs
ntȼèngè ya tenatena yi talin'inago    l'argile sert à remblayer les cases
taliz'iwemba    faire combler une fosse
talyana    se superposer
taliza    faire combler une fosse
tamba    pêcher à la main
tamba    pêcher
tamb'inkuwya    prendre des palourdes
tamb'inkuwya    prendre des crabes-tourteaux
tamb'inkuwya    pêcher
nkóndjè y'aduki go tamba    le requin fait la chasse aux poissons
igègè yi tamb'iloio    les mouettes prennent le menu fretin
otondo wi tambina    un panier de pêche
tambedewina    ambition
tambedewina    cupidité
tambedewina    désir immodéré des grandeurs
tana    devenir fou
tana    perdre la raison
lyamba yi taniz'anaga    le chanvre indien rend fou
tanda    prendre garde
tanda    se défier
tanda    être prudent
randa go nago mèyónó    n'entre qu'avec prudence dans cette maison
tandin'oma    se défier de quelqu'un
tandune ngóï-okanda yodu tando    découdre complètement un pantalon
tandina    se défier de
tandwa    se découdre
tandwa    découdre
tandwa    défaire une couture
elinga zodu z'atandwi    toute la robe est décousue
tandune ngóï    découdre un vêtement
tanduna    découdre
tanga    calculer
ranga    penser
tanga    jurer
tanga    faire un serment
tanga    prêter serment
rangare orang'ompolo !    myè ko dyene ng'iyam̂i! fais le grand serment
mi tanga nè tata e be bye mènè    je pense que papa viendra demain
m'pa tanga yenó    je ne le pense pas
tange yasi    jurer par le fétiche yasi
rangina myè sika mèyónó    compte-moi cet argent
om̂wan'iwó atangini g'awolo yè    ton enfant a tenu compte de la correction qui lui a été infligée
tangin'oma g'om̂wandja w'oga    ménager quelqu'un à cause du chef
sika mèyónó yodu yi be tangino wè    tout cet argent sera porté sur ton compte
tangize móngi wi nkala    faire faire le dénom brement des habitants du village
tangi'na    compter pour
tanguna    lire
tanguna    citer
tanguna    énumérer
tangun'ana mi móngi w'adyufa    citer les noms de ceux qui ont volé
tangun'igumba    énumérer des marchandises
tangwarangwa    dire une mélopée funèbre
tangwarangwa    chanter des lamentations rituelles
tani    filet de pêche
tani    cinq
ite tani    cinq lattes de raphia
odika wi ga râpe    il faut que la sauce à l' odika soit épaisse
tap'agó g'ina    prendre la nourriture avec la main
tap'agó g'ina    mettre la main dans le plat
tap'ombóna    triturer la boue
tapize ṉèmbwè    épaissir une sauce à l'huile de palme
tapiza    epaissir
tapiza    lier
tapolo    bâche
ko ṉ'arèwya    recouvre les marchandises d'une bâche .pour qu'elles ne se mouil lent pas
ko ṉ'arèwya    recouvre les marchandises d'une bâche
tapu    en chancelant
tapu    en titubant
tapu    dyèke
eyónga zónó atweni kao tapu    cet ivrogne marche en titubant
tara    economiser
tara    épargner
tara    garder
tara    mettre en réserve
tara    détenir
tara    garder en sa possession
tara    accaparer
tara    monopoliser
m'pa bele bundakan'idólè sam̂i    je ne veux pas gaspiller mon argent
o tare yóm̂'iyó polo    tu regardes trop à la dépense
tare ya yi ngani ntina fó    retenir injustement le bien d'autrui
tar'okita wodu    accaparer tout le commerce
tare ndambo yodu    avoir le monopole de l'achat du caoutchouc
tar'om̂want'wè    garder jalousement sa femme
nanti yi manuwèlè y'abóri itaragónya banda-ge-banda    les officiers de marine portent leurs épaulettes
dyembe dyembo taro    exécuter trois chants
fele ngóï-sótu tasi    empeser une chemise
tasi yi dyóilz'ingóï    l'amidon sert à empeser le linge
mi kènda gore tata    je vais chez mon père
mbalw'am̂i tat'ingeza    mon oncle inguéza
tata    s'éprendre
tata    s'enticher
tata    s'attacher avec passion
tata    s'enticher d'une femme
tata    ne plus quitter
e latarata myè    il ne me quitte plus d'une semelle
tate sika    s'attacher à l'argent
tate ndjali    tenir à un fusil
tat'om̂wanto    s'enticher d'une femme
tatarat'om̂wanto    courtiser une femme
taragónya    epaulette
tasi    amidon
tasi    empois
tatarata    ne plus quitter
tatam̂ina    trembler
tatam̂ina    frissonner
tatam̂ina    grelotter
myè we, tatye !    ah! ma mère
tatam̂ina n'itya    trembler de peur
tatam̂ina n'ife    trembler de fièvre ou grelotter de froid
agolo mi tatam̂in'è    ses pieds flageolent
tatam̂in'oma    trembler devant quelqu'un
arónde tatam̂ina    calme-toi
aratam̂in'orèm̂a    calme-toi
azw'abya irèm̂a ntatam̂inaga    nous sommes venus le cœur palpitant d'émo tion
tat'osam̂u tatè    tenir opiniâtrement à son opinion, à sa volonté
nkani ya tatena    lèpre volante, à plaques jaunes
tave mpundji g'iwóló    retirer une pointe d'ivoire d'un marais
tav'ebende    repêcher un cadavre
tave móngi wi re g'iga go dwaniza wao g'ozègè    faire venir les gens de la brousse sur le bord de la mer
tav'owatanga w'aluo dóm̂inà-pa    renflouer un navire coulé
tavin'intȼuwa-mamba    pêcher des porcelaines
tavin'oma go mbene-ntȼe    retirer quelqu'un du fond de la mer
dwana go tavuru    se mettre à table
tombe tavuru    débarrasser la table
yom̂a yi tavuru    un service de table
ya yi ṉena go tavuru    un service de table
tawe bómbó y'inamba    défaire un ballot d'étoffes
irongino y'atawagi igèia    les tombes sont toutes crevassées
mbala yi tawa    le fruit de l' owala (pentaclethra macrophylla) s'ouvre avec fracas en projetant au loin ses graines
taw'inwana    payer ses dettes
tawe mpungu    payer les frais d'un procès
taw'orawo    indemniser
taw'orawo    dédommager
isono sodu s'atawarawi    les lianes sont toutes cassées
ogóli w'atawini myè    ma corde s'est cassée
rawina myè ozira mèwónó    enlève-moi les lattes de raphia de cette cloison
ndaga mèyónó y'atawina myè orèm̂a ańandi    cette nouvelle m'a chagriné
tawino n'orèm̂a ańandi avila g'imbe sè    avoir le regret, la contrition de ses fautes
tawin'ebende    payer le mort
tawin'oganga    payer un médecin ou un sorcier
tawine bwiti    payer sa quote part au bwiti
tawini n'okuwa    maigrir
om̂wèï wi tawiz'izira igèla    le soleil fait fendre les murailles
tatena    lèpre volante
tava    faire venir de loin
tava    ramener
tava    retirer
tava    repêcher
tavina    pêcher
tavina    retirer de
tavuru    table
tawa    se rompre
tawa    se casser
tawarawa    se rompre
tawuna    retirer
tawuna    décharger
tawuna    ôter de
tawun'imóngó go ntȼwana    retirer des ignames, des patates d'une marmite
tawun'iṉa g'epèlè    servir de la nourriture dans une assiette, un plat
tawun'igumba ṉ'elende    décharger un canot
sak'osuka tȼa    hacher des feuilles médicinales
impogo s'asaki myè onamba wodu tȼa    les rats ont déchiqueté mon pagne
tȼatȼópu    corossolier
tȼe !    éternuer fort
