bwakuna    casser la croûte
ntȼigo yi dawina go bele kot'itótó    le chimpanzé essaie d'attraper la banane douce
dawin'oma ogó go dand'ikasa    donner la main à quelqu'un pour passer sur un pont
dawin'oma ogó    venir au secours de quelqu'un
dawina    s'efforcer
dawina    chercher à
o dawina go dwana n'azwè iṉang'imo    tu cherches à te faire passer pour notre égal
dawya    vendre
dawya    livrer
dawy'osaka    livrer un esclave
my'aduo my'adawy'è mbèï y'aniv'imè    je lui avais déjà payé une partie de ce que je lui devais
dè    remplace souvent un verbe sous-entendu
ndjègó ozakilya dè apunga wo go mbene    le léopard ayant pris un morceau de bois, le jeta dans la rivière
myè dè tu g'epwe    et je m'assis sur la chaise
ntori dè vingo go ntina y'erere    le rat-palmiste passa derrière le pied de l'arbre
dega    défendre
dega    empêcher
dega    dissuader
leg'è n'igamba mèṉónó    défends-lui cela
azw'are dego-pa go dyuîa    il nous est défendu de voler
ṉi deg'oma go    cela n'empêche pas de
dègèlya    chevroter
dègèlya    chanter d'une voix tremblante
dègèlya    parler d'une voix tremblante
o dègèly'iṉoï    tu as une voix chevrotante
dèïdèï    beau
dèïdèï    bien fait
dèïdèï    de forme agréable
okuwa wa dèïdèï    un corps bien fait
okum̂e wa dèïdèï    un bel ocoumé
dèka    saisir un objet lancé en l'air
dèke ndambo    saisir une balle au bond
dèka    contracter
dèka    gagner par contagion
dèke nkani    prendre une maladie
dèka    discerner
dèka    comprendre
dèk'agamba    saisir une conversation
dèk'agamba    s'immiscer dans une conversation
dèla    faible
dèla    débile
dèla    délicat
dèla    mou
orèm̂a w'om̂w'onaga wi re dèla    le cœur humain est faible
alugu minó mi re dèla    cet alcool n'a pas de force
o re dèla g'ebè    tu es mou comme des épinards
dèla    s'affaiblir
dèla    mollir
okuwa w'adèlî    je me sens faible
atótó minó m'adèli polo    ces bananes douces sont blettes
owendja w'adèlî    le jour est sur son déclin
ezango z'adèli    les études sont en baisse
alèlani !    bon courage !
dèlina    s'affaiblir
okuwa w'adèlini myè    je me sens faible
my'adèlino n'okuwa    je me sens faible
dèlina    éprouver de l'abattement
dèlina    se décourager
avile dèlinoni n'ikuwa    ne vous découragez pas
dèlina    se faire petit
dèlina    se soumettre
dyógó o bel'ezóm̂a gore yè ko dèlin'è    si tu veux quelque chose de lui, fais-toi petit devant lui
dèlina    être serviable
lèline rer'iyó    rends service à ton père
dèlina    avoir des nausées
orèm̂a wi dèla myè    j'ai envie de vomir
orèm̂a wi dèlina myè    j'ai envie de vomir
dèliza    affaiblir
dèliza    ramollir
dèliz'okuwa    se laisser faire
dèliz'okuwa    ne pas résister
dèliz'ozózó    aplanir les difficultés d'un procès
dèliza    abattre
dèliza    décourager
dèliza    affecter
idyuwa si rer'iyam̂i s'adèlizi myè okuwa ndèlini mbe    la mort de mon père m'a profondément affecté
alèliz'orèm̂a !    ne te décourage pas
dèliza    soulever le cœur
anango minó mi dèliza myè orèm̂a    cette odeur me soulève le cœur
anango minó mi dèliza myè orèm̂a mi bêle tova    cette odeur me soulève le cœur, j'ai envie de vomir
dèlya    amollir
dèlya    détremper
ningo yi dèlye ntȼe    la pluie détrempe le sol
dèladèla    très faible
dèladèla    très mou
dèladèla    inconsistant
o re okuwa dèladèla g'ogu    tu es mou comme un ver
iba ṉinó ṉ'adèli du dèladèla    cette mangue est trop molle
demba    déguster
demba    goûter
demb'ivè    goûter du vin
demba    essayer
lembareni go tombin'ido ṉinó    essayez de soulever cette pierre
dembe ndjali    essayer un fusil
demb'onèngè    exécuter un tir
demb'oma onèngè    fusiller quelqu'un
demb'orónga    sonder
demb'opa    lutter
demb'ogandji    tâter le pouls
demba    tenter
demba    éprouver
demb'oma orèm̂a    mettre quelqu'un à l'épreuve
lembina myè ivè ṉinó    goûte-moi ce vin
lembiza myè itutu ṉô    fais-moi goûter de ton vin de palme
dembize lende g'ozègè    jouer aux petits bateaux sur la plage
okuwa elende e dembizo    il faut vivre sa vie
dembyana    rivaliser
dembyana    faire concurrence
dembyana    concourir
dembyana    lutter de vitesse
dembyan'ivenda    se disputer le pouvoir
azwè dembyana go panda    voyons qui grimpera le plus vite
am̂aro mi dembyana    les pirogues luttent de vitesse
dembyana g'ezango    rivaliser en classe
dembyana g'okita    se concurrencer dans le commerce
dembe    essayer de faire
m'be dembe kèndare gogo mènè    j'essaierai d'y aller demain
lembe kambere n'ayè    essaie de lui parler
lembe nègireni yè fura mbani    essayez de lui demander deux francs
dèmbinya    adorer
lèmbiny'aṉambyè ayè dadyè    un seul dieu tu adoreras
dèmbya    ployer
dèmbya    se courber
dèmbya    fléchir
dèmbya mbè    se courber entièrement
dèmbya kurumbè    se courber entièrement
dèmbya n'irwano    ployer sous le faix
dèmbinya    s'abaisser devant
dèmbiz'ewondjo    baisser la tête
dèmbiz'okóngó    courber le dos
dèmbiz'ivari    faire plier une branche
dena    pleurer
den'edingo    se lamenter
den'oma    pleurer quelqu'un
dena sèku    pleurer à chaudes larmes
den'edingo zi mboko antȼóni ïó    pleurer les yeux secs comme l'écureuil mboko
deniz'om̂wana    faire pleurer un enfant
denda    faire
o dende mbe    tu as mal agi
dend'osam̂u    faire une action
dend'igamba    faire une action
dend'ogaso    être gourmand
dend'ogera    être paresseux
sika mèyónó yi be denda myè ande ?    à quoi me servira cet argent ?
sika mèyónó yi be denda myè ewilo ande ?    à quoi me servira cet argent ?
lendore ṉo ko tónda    ne fais pas à autrui ce que tu ne voudrais pas qu'on te fasse à toi-même
denda    marcher
denda    prospérer
ewilo zi kè dendaga    le travail marche un peu
denda    se remettre
denda    aller mieux
okuwa w'akè dendagï    je commence à me remettre
dendina    faire pour
lendina myè osam̂u winó    rends-moi ce service
lendina myè osam̂u winó    fais-moi ce travail
dendina    servir à
agali mi dendin'owèló    l'huile qui sert à faire de la peinture
denda    c'est dommage que
denda    si ce n'était que
denda go sunge kènd'ó    c'est dommage que tu partes si tôt
denda go re anaga awenge gavónó my'ato buyin'ó igamba    s'il n'y avait pas tant de personnes, je t'aurais dit quelque chose
dèndya    commencer à monter
eningo z'adèndi    la marée commence à monter
dènga    trouver
dènga    gagner
dènga    obtenir
dènge ïura go mpónó    trouver un franc sur la route
dènga mbyambye g'okita    gagner beaucoup dans le commerce
dènga    reprocher
dènga    convaincre
m'pa bele dèngo    je ne veux pas qu'on me le reproche
m'pa bele dèngo n'orèm̂'ombe    je ne veux pas qu'on me trouve en défaut
o re gore nwè mandé wi re go dyólye denga myè ni pesé ?    qui de vous me convaincra de péché ?
dèngalènga    trouver souvent
dèngalènga    obtenir souvent
dèngalènga    gagner peu
dèngalènga iye-ngóï    trouver à peu près de quoi s'habiller
dèngalènga iye-ṉa    trouver à peu près de quoi se nourrir
dèngalènga    chercher noise
dèngalènga    en vouloir à
o dèngalènga myè ande ?    pourquoi m'en veux-tu ?
dèngana    se brouiller
dèngana    se disputer
dèngina    procurer à
dengin'oma owilo    procurer du travail à quelqu'un
dèngina    atteindre
dengina g'oróndó    atteindre au faîte
dèngèlya    bafouer
dèngèlya    se jouer de
dèngèlya    tourner en ridicule
o dèngèly'am̂ón yenó sè ?    pourquoi tournes-tu les autres en ridicule ?
dèngèlya    s'appauvrir
dèngèlya    se ruiner
dèngèlya    déchoir
o dèngèly'ande ?    comment es-tu devenu si malheureux ?
dèngè    marque un air disloqué dans l'attitude
dèngè    marque un air disloqué dans la marche
onom̂e mèwónó e kènda dèngè    cet homme a une allure dégingandée
dewana    oublier
adewani myè    il m'a complètement oublié
aṉa nènó ko dewane mènè    ne mange pas aujourd'hui sans songer à demain
aṉa nènó ko dewane mènè    sois prévoyant
ewèrè zi dewanondó g'ogoni zi kalw'am̂ingilya    il faut battre le fer pendant qu'il est chaud
dewina    conjecturer
dewina    soupçonner
dewin'oma inè are dyufa-pa    soupçonner quelqu'un d'avoir volé
dewin'isam̂u ndewinaga    juger témérairement
elewina-ṉambyè    juger témérairement
dewina    se bercer d'espoir
dewina    compter sur
dewine ntambi    se flatter d'acquérir des richesses
dewina go kwena g'ewilo    compter sur un emploi
dî    marque la chute d'un corps
ezila z'aposwa go ntȼe dî    le régime de palmes est tombé lourdement à terre
didî    plus rien
pila g'akènd'è didî    depuis qu'il est parti, plus rien de lui
intȼugu sinó didî sè ?    tous ces jours-ci, aucune nouvelle de toi, pourquoi ?
didî    silencieux
didî    où l'on n'entend aucun bruit
orove wi re didî    on n'entend aucun bruit dans la savane
owendja wi re didî    c'est une journée calme
owendja wi re didî    c'est une journée silencieuse
diè    relâcher quelqu'un
diènga    relâcher quelqu'un
tig'oma diè    relâcher quelqu'un
tig'oma diènga    relâcher quelqu'un
riga du diè    laisse faire
diènga-diènga    libre
my'are diènga-diènga go dyandja ntè bela na myè    je suis libre d'agir à ma guise
diènga-diènga    inoccupé
diènga-diènga    qui n'a pas d'occupation
nènó my'azele diènga-diènga    aujourd'hui je suis occupé
nènó my'azele diènga-diènga    j'ai du travail
dikidiki    complètement
nkala yodu y'apyeni dikidiki    le village est complètement réduit en cendres
my'aduuno nag'wam̂i yodu dikidiki    j'ai trouvé ma maison entièrement brûlée
dimbili    ignorant
dimbili    qui ne sait pas
dimbili g'inènga    illettré
dimbili g'ezango    illettré
dimbili g'erungu zi re kito-pa    ignorant d'un complot tramé contre lui
dimbina    déposer
dimbina    poser
dimbina    placer
dimbina    remiser
dimbine ntongo go ntȼe    déposer son bâton à terre
mbora yi dimbino pèle    l'endroit où l'on met les assiettes
mbora yi dimbino imyanga yi dyandjina    l'endroit où l'on remise les outils de travail
dimbina    s'apaiser
dimbina    se calmer
mbene y'adimbini odèmbè    la mer est calmée
ikewa y'adimbini odèmbè    la mer est calmée
dimbina    rester tranquille
dimbina    ne pas se préoccuper
limbina okuwa limbine    reste bien tranquille
limbin'isó okuwa limbine    ne t'en fais pas
dimbina    renoncer à
limbine ndaga mèyónó    renonce à ce dessein
limbine ndaga mèyónó    laisse cette affaire
dinga    durer
dinga    rester longtemps
ngóï yinó y'adingi polo    cet habit a duré longtemps
dinga    tarder
dinga    s'attarder
dinga g'ogèndó    s'attarder en voyage
alinga !    ne tarde pas
alinga we !    prompt retour
alinga polo we !    prompt retour
dingiza    retarder
dingiza    faire attendre
dingiza    prolonger
dingiza    faire durer
dingiz'oma go mpónó    retarder quelqu'un en chemin
dingiz'ozózó    faire traîner un procès en longueur
dingiz'ipa    tarder à payer
o'dingiz'ingóï só    tu uses trop vite tes habits
dinge    depuis longtemps
adinge dyuwa    il y a longtemps qu'il est mort
igum̂a y'adinge ïena    il y a longtemps que les bâtons de manioc sont cuits
my'adinge buyin'ó ṉo    il y a longtemps que je te l'ai dit
dingilya    marquer
dingilya    poser un sceau
dingily'ingóï    marquer le linge
dingilye mbora    mettre des points de repère à un endroit
dingilye mpónó    mettre des points de repère sur une route
dingily'orónga    baliser une rivière
dingily'ina n'are    timbrer
dingily'ina n'are    poser des scellés
dingilya    observer
dingilya    remarquer
my'adingili oma mówónó    je sais ce que vaut cet homme
my'adingili intȼale só    j'ai observé tes habitudes
dingily'oma go nkóndó y'anaga    remarquer quelqu'un dans la foule
dipa    saisir à bras le corps
dip'oma ndipaga    saisir quelqu'un à bras le corps
dip'oma g'igówi    saisir quelqu'un par le milieu du corps pour se battre avec lui
dipana    se saisir à bras le corps
w'adipana du dipa    ils se sont saisis à bras le corps
dipa    à bras le corps
dira    lourd
dira    pesant
m'pa twa go dyene mpundji dira ga yinó    je n'ai encore jamais vu une pointe d'ivoire aussi lourde que celle-ci
o re ikamba dira    tu as de la difficulté à t'exprimer
o re dira go kógwa go nago    tu aimes trop à rester chez toi
dira    s'alourdir
dira    s'appesantir
ikamba s'adiri    la parole lui manque
antȼó m'adiri n'antȼovinó    les yeux sont appesantis par le sommeil
alir'agolo !    presse-toi
o ṉèg'agolo ko dir'ogwana    celui qui va partout doit surveiller ses paroles
dira    s'aggraver
dira    empirer
okuwa w'adiri    la maladie s'est aggravée
nkani y'adiri    son mal empire
dirina    surcharger
dirina    accabler
dirino n'ewilo    être surchargé de travail
dirino n'irwano    ployer sous un fardeau
dirino n'okuwa    être accablé de fatigue
dirino n'okuwa    être abattu par la maladie
dirino n'oma    être fatigué de quelqu'un
dirino n'oma    en avoir assez de lui
ndjógu alirino n'impundji sè    un éléphant n'est jamais gêné par ses défenses
diriza    alourdir
diriz'agolo    marcher lentement
diriz'ogèndó    ralentir le pas
dirya    témoigner des égards
dirya    respecter
diry'aga    respecter les chefs
diry'abota    respecter les parents
diry'anèró    respecter les vieillards
liry'okuwa    garde les convenances
okuwa e diryo n'om'imè    respecte-toi si tu veux qu'on te respecte
o diry'okuwa polo    tu te donnes des airs d'importance
diryana    se donner mutuellement des marques de respect
diradira    très lourd
o re diradira g'ande    tu es très lourd
diró    alourdi
diró    pesant
diró    indisposé
ngóri yi re myè diró    j'ai la nuque brisée
okuwa wi re myè diró    je suis indisposé
okuwa wi re myè diró go dyandja    je suis mal en train
diró    qui tient absolument
are du diró n'ogèndó mèwónó    il tient absolument à faire ce voyage
diró    tiroir
dirya    attacher
dirya    lier
dirya iṉóngè    nouer les fils
diry'agó go ṉum̂a    attacher les mains derrière le dos
diry'ilirya    faire un nœud
diry'owaro    amarrer une pirogue
diry'elende g'atina    remorquer un canot
diry'ogóli tȼwi    serrer fortement une corde
diry'ogóli giliti    serrer fortement une corde
diry'ogóli ntȼorwa-ntȼwi    faire un nœud lâche
diry'ogóli    se pendre
diry'ogóli    donner les premiers objets pour une dot de femme
diry'olonda    donner les premiers objets pour une dot de femme
dirinya    bander
diriny'oloso    mettre un bandage à une plaie
diriny'eza z'onamba g'oloso    mettre un bandage à une plaie
dirinya    amarrer
ogulu wi diriny'owatanga    une amarre
dirinya    retenir
lirinya agamba mi rer'iyó    retiens bien les paroles de ton père
lirya irevuno yi ng'iyó    retiens bien les avis de ta mère
dirinya    peser la portée
dirinya    calculer la portée
o kamba polo ko dirinyaga agamba mi kambondó    tu parles trop, fais attention à ce que tu dis
gamba ko dirinya    parle avec prudence
gamba ko dirinya    pèse bien chaque mot
diryana    s'entrelacer
diryana    se saisir à bras le corps
w'adiryani g'igówi    ils se sont saisis à bras le corps pour se battre
diryè    grosse canne à sucre
disu    dix sous
disu y'om̂wanga    une pièce de cinquante centimes
disu ni sensu    soixante-quinze centimes
disu    chique
disu    puce pénétrante
ogènè wi disu    une chique
nago yi disu    enveloppe extérieure de la chique
tomb'omwana idisu    extraire des chiques à un enfant
diwa    se compléter
diwa    devenir complet
diwa    s'accomplir
diwa    s'effectuer
ntango y'adiwi    le nombre est complet
egombe zè z'adiwi    son temps est terminé
igamba ṉ'awuyo myè ṉ'adiwi    ce que j'ai dit s'est réalisé
ogwèli w'adiwi nkóm̂a    c'est la pleine lune
ogwèli w'adiwi nkóm̂a    la lune est dans son plein
diwa    se joindre
diwa    rejoindre
diw'oma g'olwano    aller rejoindre quelqu'un pour demeurer avec lui
diwa    finir par
diwa    arriver à
diwa    aboutir à
diwa n'idyuîa    finir par voler
diwa ni dyon'okuwa    finir par se suicider
diwa    être au juste
diwa    être exactement
mbè e be tola g'adiwa ni gwe ?    guérira-t-il, qu'en est-il au juste ?
diwiza    compléter
diwiza    accomplir
diwiza    effectuer
diwize ntango y'inwana    achever de payer ses dettes
diwiz'impum'iyè    accomplir son stage
diwize egombe zè    terminer son engagement
diwiz'igom̂i ṉ'impum̂a    avoir dix ans accomplis
o pa diwiza    tu n'es pas encore au bout
diwangana    être sur le point de
diwangana    être tout près de
diwangana    toucher à
mpogo y'adiwangani n'ozira    le rat a atteint la cloison
mpogo y'adiwangani n'ozira    le rat va atteindre la cloison
yagayaga yi diwangana n'okwende    les nageoires anales sont près de la queue
diwangana    être proche parent
azw'aliwangano n'ayè    il nous touche de près
azw'aliwangano n'ayè    il est notre proche parent
diwina    fermer
diwina    clore
diwina    entourer
diwiné mpónó    fermer un chemin
diwiné mpónó    barrer une route
diwin'ogomba    entourer d'une palissade
diwin'olówi    barrer une rivière
diwin'njcum̂ba    barrer une rivière
diwina    s'obstruer
diwina    se fermer
diwina    n'avoir plus d'issue
olówi w'adiwini    la rivière est obstruée
olówi w'adiwini    la rivière ne coule plus
mpónó y'adiwini    le chemin est fermé
diwina    mettre à l'abri
diwina    voiler
diwina    masquer
my'akoli igombe-gombe ṉi diwine ningo    j'ai acheté un parapluie pour me garantir de la pluie
erere zinó zi diwina zwè om̂wèï    cet arbre nous abrite du soleil
diwin'okuwa    se mettre à l'abri
diwin'isangala    masquer une fenêtre
diwina imbo    se garantir des moustiques
diwina    se protéger
diwina    se défendre
diwine nguwa    se servir d'un bouclier
diwin'oka    se barricader
diwina    ne pas dépasser une ligne tracée sur le sol dans les cérémonies fétichistes
diwina    protéger
diwina    défendre
diwina    prendre sous sa protection
diwina    se porter garant
diwin'oma    couvrir quelqu'un
diwin'oma    mettre quelqu'un à couvert
diwina    couvrir
diwina    étouffer
diwin'osam̂u    couvrir une faute
diwin'osam̂u    étouffer une affaire
djaketi    jaquette
djaketi    redingote
dó    en silence
dódó    en silence
dó !    silence !
dódó !    silence !
lwa dó !    tais-toi !
lwana dódó !    tais-toi !
lwanani dódó !    taisez-vous !
wi re isao dódó    ils ne disent pas un mot
dódó    tranquille
dódó    paisible
dódó    calme
oma wa dódó    un homme paisible
lwaniz'orèm̂a dódó    tiens-toi bien calme
dó    un peu plus tard
dó    quelque temps après
ayè kènda-pa dó g'ave byen'è    il partit et revint quelque temps après
dó    goutte à goutte
aningo mi twezina dó    l'eau tombe goutte à goutte
dô    vlan
dô    pan
bol'oma ntongo dô    donner un coup de bâton
ndjali y'akamba dô !    un coup de fusil
owondó wi ndjali dô !    un coup de fusil
dóbiló    monnaie d'or
fura yi dóbiló    une pièce en or
dólè yi dóbiló    une pièce en or
nkóla yi dóbiló    une montre en or
dóda    examiner
dóda    inspecter
dóda    surveiller
dód'asaka g'ompindi    aller voir ce que font les esclaves dans les plantations
dóda    visiter
dóde móngi wi dyógó    visiter les malades
dód'indego    rendre visite aux amis
dódalóda    fureter partout
dódalóde mboredu    fureter partout
dódina    jeter un coup d'œil
o dódin'ande gunu ?    que regardes-tu ici ?
dódina g'inago si ngani    regarder chez autrui
dódyana g'egombe    se rendre visite de temps à autre
dódi    à l'intérieur
lódina go gare dódi    regarde bien à l'intérieur
myè dódi my'adódina    je jetai un coup d'œil à l'intérieur
dóga    maudire
dóg'oma etina    maudire quelqu'un
dó-ge-dó    silencieux
wi re dó-gè-dó go nago y'aṉambyè    ils gardent le silence à l'église
dogo    étourdi
dogo    léger
dogo    volage
dogo    dissipé
om̂wan'iwó are dogo    ton fils est étourdi
dogola    brûler
dogola    flamber
ewumbu z'ogoni avelo go bómbó gambènè bómbó yi dogola    on ne peut mettre un tison enflammé dans un sac, sans quoi le sac brûle
dogwa    bondir
dogwa    sauter
nkém̂a y'adogwi    le singe a sauté
dogw'olówi    sauter un ruisseau
dogwa pwe    faire un bond
dogwa    s'envoler
imenga s'adogwi    les pigeons-verts se sont envolés
doguna    faire partir
ṉóni y'adogun'è    il est fou
dogunya    s'en aller
dogunya    filer
my'adoguṉya !    je pars
vó azwè dogunya !    nous partons
vó azwè dogunya !    nous filons
dogunya    faire sauter
awè doguny'ibembe ṉam̂i    c'est toi qui as fait partir ma tourterelle
dogwalogwa    voltiger
dogwalogwa    gambader
dogwalogwa    sautiller
ibonyawonya yi dogwalogwa    les papillons voltigent
dogwalogwa    vagabonder
dogwalogwa    déménager souvent
dogwalogwa    manquer de constance
dogwalogw'inago    changer souvent de case
dogwalogw'inkala    changer souvent de village
dogwalogwa g'ewilo    changement constant de travail
dogwalogwa g'ewilo    changement constant d'emploi
dogwalogwa g'idyomba    divorcer souvent
dogwalogwa g'idyomba    changer souvent de mari
doka    donner un coup
dok'oma ntongo kô    donner à quelqu'un un grand coup de bâton sur la tête
dok'ekólóndjó kô    donner une forte taloche
my'adok'epoti g'iṉengó    je me suis cogné la tête contre la colonne
doka    frapper à la porte
