savina    bénir
sazuna    détacher
sè    de lui
sè    à lui
sè    d'elle
sè    à elle
ingóï sè s'akoti nanga    ses habits sont sales
ikoni sè    ses bûches de bois
ou atweni sè ?    comment va ton père ?
sè?    que dois-je faire?
mi ga lende sè?    comment ferai-je?
oma mèwónó adyuwa ndyuwini sè?    comment est mort cet homme ?
ṉ'idyuîa ṉ'atwa na wè sè?    qu'as-tu donc à voler?
infr sè?    quoi?
idega s'asègi    les biscuits tombent en poussière
inkondo iṉom̂o sinó s'asègi    ces carpes fumées tombent en miettes
nkawala y'asègi impóndó    les sabots du cheval sont usés
evuginya zi sègazèga    un charançon
ado mi sègiz'impóndó s'inkawala    les cailloux usent les sabots des chevaux
sèga    contrefaire
sèga    singer
sèga    tomber en miettes
zèga    contrefaire
sègèsègè    en vrac
sègèsègè    en désordre
tige yóm̂a yodu yi nóntȼe sègèsègè    laisser tous les objets traîner dans la chambre
igumba ṉi pare sègèsègè    toutes les marchandises sont en vrac, on ne les a pas encore arrimées
g'awye pandi zwè go nkala    nous nous rendîmes au village
owaro w'asum̂i g'ozègè du sègè    la pirogue a abordé au rivage
sègèrè    descends complètement
zony'irwano du sègèrè    pose ta charge à terre
sègèrè    rassuré
sègèrè    réfléchi
zum̂ina du sègèrè    descends complètement
orèm̂a w'atweni myè sègèrè    je suis entièrement rassuré
oma mèwónó are ogu sègèrè    cet homme à l'esprit rassis
sèï    de l'intérieur d'une maison
kamba n'oma sèï    parler à quelqu'un de l'intérieur de la maison
sekedya    laisser faire
sekedya    céder aux exigences
sekedya    ménager
sekedya    se laisser aller
sekedy'om̂wana    contenter les caprices d'un enfant
sèkèlya    rincer
sekelya    obtempérer
sekelya    obéir
sekely'oga    obtempérer aux ordres du chef
sèkèlya ingóï    rincer le linge
sèku    sangloter
sèkum̂a    sangloter
sèkum̂'edingo    éclater en sanglots
kamba ge sèkum̂aga    parler en sanglotant
iṉa s'asèki    les provisions diminuent
ngulu y'asèki    les forces diminuent
inóngó ṉinó ṉ'asèki    cette se dépeuple
azw'asèkino n'aningo    notre provision d'eau diminue
om̂wana e sèla go ntȼe    l'enfant se traîne par terre
sèla go ntȼe n'ańandi    se rouler par terre de douleur
wi dwana kao nsèlyanaga egombe zodu    ils ne font que se moquer continuellement l'un de l'autre
sèm̂a    se vanter
sèm̂e ntono nè    se vanter
sèm̂e ntono nè    se targuer de
sèm̂'igówi    se vanter de ses faits d'armes
sèm̂iny'óma igówi    se vanter
sèmb'om̂wana    réprimander un enfant
sèmbo n'orèm̂'iwè    avoir des remords
sèmbin'oma om̂wan'iwè ṉawè-ṉawè    blâmer sans raison l'enfant d'un autre
sène monda y'okita    faire le fétiche du commerce
sènd'igolo ṉ'osaka    donner des marchandises pour l'achat d'un esclave
oma w'azèndinondó igumba adyuwi    celui à qui tu avais fait des avances est mort
sèkya    diminuer
sèkina    perdre ses forces
sèkiza    dépeupler un clan
sèla    se rouler
sèla    se traîner à terre
sèlèla    glisser
sèlèla    faire un faux pas
sèlèndja    glisser
sèlya    se moquer
sèm̂a    se vanter
sèminya    se vanter
sèmba    blâmer
sèmba    réprimander
sèmba    faire des reproches
sèna    faire fétiche
sèna    se procurer des talismans
sènda    donner des avances
sendja    tolérer
sendja    laisser faire
o sendja myè n'ewilo    tu me laisses tout le travail
my'asendj'è n'ogèndó mèwónó    j'ai consenti à contre-cœur à ce qu'il fasse ce voyage
zendj'è n'okuw'è    laisse-le agir à sa guise
sendj'oma n'iyawana    abandonner à un autre le soin de ses enfants
zèngina myè mbora mèyónó    dégage-moi ce terrain
mandè be sèngina g'iṉanga ṉ'oga?    qui est-ce qui succédera au chef?
winó e kum̂ana g'epwe, winó e sèngina    celui-ci se lève de la chaise, un autre prend sa place
sèngyana g'ewilo    travailler alternativement à un ouvrage
seni ?    quel ?
seni ?    quelle ?
sèndjwa    aller au large
sèndjwa    se mettre en mer
sèndjuna    pousser au large
sènga    tailler à la machette
sènga    élaguer
sènga    émonder
sènga    dégager
sèngina    raser
sèngina    remplacer
sèngina    succéder
sènya    appareiller
sènya    mettre à la voile
sènya    démarrer
sèpèlè    assis par terre
are sèpèlè go nondè    il est assis par terre
sèpèsèpè    jusqu'au bord
eliwa z'atweni aningo sèpèsèpè    l'étang est rempli jusqu'au bord
oloso w'atweni ampina sèpè sèpè    le pus coule de la plaie
otumba wi sèriki    une ceinture en soie
seva    dans la savane
vang'itawana seva g'igala    fais jouer les enfants dans la cour
seve mbando    jouer à colin-maillard
igala ṉi sèvina    la cour de récréation
sèzo n'ebende    soutenir la tête d'un mort
indego si tavuru    des commensaux
imbwa si boka    les chiens aboient
ande mèzónó zi re go mpónó?    qu'y a-t-il dans le chemin?
va myè sindjógóni    donne-moi des poules
siba    calmer
siba    modérer
siba    tempérer
sib'oma    tempérer l'ardeur
sibe    méchant
sibe    mal fait
sibe    laid
idega sibe    de mauvais biscuits
idyembo sibe    des chansons obscènes ou des chansons mal composées
itwe sibya    une belle chevelure
ibenda sidungu    de vieux ciseaux
itove sidyango    de petites savanes
sidyenge    beaucoup
sidyenge    plusieurs
sidyenge    sidyèwó
enge    sidyèwó
iṉa sidyenge    beaucoup de vivres
ikana sidyóna    de nouvelles statues
elende z'asigi go ntomba    le canot s'est échoué sur un banc de sable
azw'asiga gore rè-ndjogo    nous nous sommes arrêtés chez rè-ndjogo
owaro w'asigina zwè g'olówi    notre pirogue s'est échouée dans la rivière
sèriki    soie
sesu    vingt-cinq centimes
sèvya    soulever
sèvya    hausser
sèvyaga    oter
sèza    reposer
sèza    appuyer
sezè    ciseau de menuisier
sezè    bédane
sigaziga    incertain
sigaziga    hésitant
sigaziga    indécis
ogèndó wi pare sigaziga    notre départ n'est pas encore fixé
sigaziga    hésiter
sigaziga    tergiverser
sigaziga n'osam̂u    hésiter à faire une chose
go dyandja osam̂u    hésiter à faire une chose
sigazige ndjógu    tenir un éléphant en échec
siginya    se consumer
siginya    toucher à la fin
siginya g'ombóna    s'enfoncer dans la vase
siginya g'iwuru    s'enliser dans du sable mouvant
papa y'isagareti    un paquet de cigarettes
sigareti    cigarette
sigaro    cigare
dyónge sigaro    fumer un cigare
avyagana    ne passe pas sans t'arrêter ici un instant
sigirya g'ewilo    rester toujours dans le même emploi
sigirya g'idyomba    rester stable dans son mariage
sigïrya    demeurer stable
sigïrya    constant
sika    argent
sika ya tenatena    de l'or
ya tatena    de l'or
sika ya pupu    de l'argent
sika y'ipepa    des billets de banque
sika y'imyanga    des pièces d'or ou d'argent
sikasikye    du vrai argent, de l'or pur
sika    pousser
sika    bousculer
sika    coudoyer
sik'oma    bousculer quelqu'un
sik'owaro g'orónga    pousser la pirogue au large
sik'ezóm̂a nkowa    repousser un objet
sik'ido ni ntȼozo    pousser une pierre du pied
sika ni nkógózó    coudoyer
nkawala y'asika myè mpóndó    le cheval a rué contre moi
zikim̂yare gore rèkadyè votwè ṉi re rèti    informe-toi auprès d'un tel si c'est vrai
sikim̂ya osam̂u    prendre des informations sûres
sikim̂ya osam̂u    approfondir une question
igamba kóró kwanga    prendre des informations sûres
igamba kóró kwanga    approfondir une question
sikim̂y'osam̂u ga twe nkende    chercher à se rendre compte n'est pas dans le caractère d'un imbécile
sikana    se bousculer
sikim̂ya    rechercher
sikim̂ya    vérifier
sîkwalè    vent impétueux et de peu de durée
sîkwalè    bourrasque
iwanani mbyambye g'owaro, yinó sikwalè    tenez-vous bien dans la pirogue, la bourrasque menace
ompavo w'asili g'iwóló    il n'y a plus de pailles dans le marais
wilo yi pa sila    le travail ne manque pas
onamba onóngó winó wi re sila    cette espèce d'étoffe est rare
igum̂a y'atweni sila g'ikasa    les maniocs se font rares au marché
mi dyene sila go kènda kwanga gogo    je ne vois pas le moyen d'aller jusque là-bas
sîla    se faire rare
silasila    très rarement
silasila go dyen'oîe e paga    il est rare de voir un voleur s'enrichir
ewèrè mèzónó zi re silasila go dyono g'ilówó    ce poisson se prend rarement à l'hameçon
orove winó wi re sile dyeno nkambi    il est rare de voir une antilope dans cette savane
silina    refuser un service
silina    être peu obligeant
aziline rer'iyó    ne refuse aucun service à ton père
my'aziline wè go kènda gogo    je ne te refuserai pas d'aller là-bas
iwóra ṉ'isilipasi    une paire de pantoufles
silipasi    pantoufle
silipasi    savate
silipasi    sandale
silya    dévisager
silya    considérer attentivement
silya    bien remarquer
sily'oma    dévisager une personne
sily'oma    regarder avec insistance
silo yi kubuno n'ilolo    tissu pour prendre le menu fretin
silo    tissu très clair
sim̂a    défendre
sim̂a    empêcher
zim̂'om̂wan'iwó n'osam̂u mèwónó    défends à ton enfant de faire cette chose
o sim̂o n'orogo    on a beau te défendre d'être espiègle, tu n'écoutes pas
ndo e pa sim̂ana rèti    ma mère va mieux, mais elle n'est pas vraiment rétablie
sim̂an'oma g'okuwa    s'adapter à la taille de quelqu'un
idyembo s'asim̂ana nènó winó    les chants ont été bien exécutés aujourd'hui
ewilo zam̂i zi pa sim̂ana    mon travail n'a pas réussi
ewilo mèzónó zi pa sim̂ana na myè    ce travail ne me va pas, n'est pas fait pour moi
sim̂any'oma go ndwani yè yi kretyè    rendre parfait chrétien, affermir quelqu'un dans la vie chrétienne
sîm̂ane    bien fait
sîm̂ane    bien compris
sîm̂ane    commode
nago mèyónó yi re sim̂ane    cette maison est bien comprise
elende zinó zi re sim̂ane    ce canot est commode
simba    de l'intérieur
om̂wosimba    un simba
simba    retenir
simba    refuser
my'asimba go mbangwè    je me suis arrêté à mbangouè
agènda w'asimbi gor'oga    les étrangers logent chez le chef
azimbazimbani go mpónó    ne vous arrêtez pas trop souvent en route
go kole wèrè    faire arrêter sa pirogue à une pêcherie pour acheter du poisson
simbiz'agènda go nago    donner l'hospitalité
ko simbiza myè ifura sinó gore om̂wo-ndak'wam̂i    remets-moi cet argent à mon neveu
simby'ogó    se retenir
simby'anaga go nkala    retenir des gens dans son village
simbye nkóla    arrêter une horloge
simby'iwum̂u    arrêter la diarrhée
simby'egunu    arrêter sa colère
simbye mpira    interdire la vente de la poudre
simby'okita wi ndambo    arrêter le commerce du caoutchouc
simbye ntȼèngè    arrêter
simbye ntȼèngè    fixer la terre
owaro winó wi simbye mbene mbyambye    cette pirogue tient bien sur l'eau
zimby'are ogèndó    arrête-toi un instant
intȼe simbe    de mauvais pays
simbezo    pas cuit
wezó    pas cuit
simbina    retenir
simbina    refuser
simbina    différer
simbiza    faire arrêter
simbya    arrêter
simbya    retenir
inkavi simbya    de bonnes pagaïes
sim̂è-sim̂è    attitré
sim̂è-sim̂è    déterminé
sim̂è-sim̂è    spécialement désigné
onèndji wa sim̂è-sim̂è    un professeur attitré
om̂want'wè wa sim̂è-sim̂è    sa femme attitrée
sim̂ina    gémir
sim̂ina    geindre
sim̂ina    rugir
ndjègó yi sim̂ina g'ibaka, mandè be susa?    la panthère rugit dans le fourré, qui est-ce qui en approchera?
sîm̂ina ni nkaza    gémir de douleur
sim̂ina gè    pousser de profonds gémissements
sim̂inya    fixer
sim̂inya    assujettir
zim̂iny'eduge mbyambye    enfonce bien le bouchon
zim̂iny'epokolo g'ewondjo    fais bien tenir ton chapeau sur la tête
simpe    de courtes planches
intimbe simpe    de courtes planches
inkala simpolo    de grands villages
ingowa simpóm̂e    des porcs gras
impónó sinda    de longues routes
imbum̂a sindèle    des tomates molles
sindya    adoucir
sindya    consoler
sindya    supporter
sindya    souffrir
sindya    endurer
iṉa si bya    on va te porter à manger, en attendant prends ces quelques biscuits
sindy'oma orèm̂a    consoler quelqu'un
sindy'iwum̂u    prendre un léger repas
zindyanani anwè n'anwè    consolez-vous, sup portez-vous ou soutenez-vous les uns les autres
sindin'intȼale s'oma    supporter les travers de quelqu'un
sindin'irówo    supporter les injures, les privations, les souffrances
sindine ndjana    supporter la faim
sindine ndjana    jeûner
ng'iyam̂i e dyólye sindina tako    ma mère ne supporte pas l'alcool
móngi-ntȼe wi 'dyólye sindine mbene    les gens de l'intérieur craignent l'eau
mi 'dyólye sindina oga    j'ai la frousse du chef
intȼeri sindyavure    des gazelles agiles
sindyana    consolez-vous
sindina    supporter
sindina    souffrir
sindina    endurer
singa    s'abattre sur
singa    souffler avec violence
singa    rugir
singa    commettre des dégâts
singa    dévaster
ogula w'asingi go ntȼe móri    la tornade souffle avec violence sur l'autre rive de l'estuaire
ndjègó yi singa g'ompindi wazo    on entend rugir la panthère dans notre ompindi
esóngè zi singa gunu ndjuke    l'épervier commet des dégâts par ici
singazinga n'ompunga    grincer sous le vent
erere zi singazinga    l'arbre qui gémit
singwazingwa    aller rapidement
singwazingwa    filer
oma winó atweni go singwazingwa    cet homme se débat dans les spasmes de l'agonie
sini    vêtement de dessous
sini    pagne de dessous
sini    caleçon
sini y'onamba    pagne de dessous
sinó    cet
sinó    cette
sinó si dyila, sinó si dyendja, are kao mèvónó    les jours succèdent aux jours sans qu'il change de place
sinó    celui-ci
sinó    celle-ci
sinó    ceci
sinó du sidyuw'isam̂i!    je meurs, au secours!
móngi sinó    ces gens-ci
inago imbya sinó    ces belles maisons-ci
idyavi sinó si re go ntȼe ti-ge-ti    ces feuilles qui jonchent le sol
sinó simbila    voici des noix de palmes
sinkónge    maigre
pa oma impundu sintevo    ne donner à quelqu'un que des racines de manioc
sinungu    de vieilles chaussettes
ifatu sinungu    de vieilles chaussettes
sinya    frapper le sol
sinye ntongo ndjî go ntȼe    frapper la terre avec un bâton
sinyazinya okuwa    marcher pesamment
sinyazinya okuwa    marcher en dansant
sinyazinya okuwa    marcher en sautillant
sinyazinya ikilikili    frapper du pied en marchant
inkóla siṉango    de petites montres
apa zwè impèmba siṉènè    il nous a donné d'autres pains
sinenge    beaucoup
sinenge    plusieurs
va myè imbila siṉèwó    donne-moi quelques noix de palmes
intȼaga siṉóna    de nouvelles plantations
isono sipe    de courtes lianes
idyivira sipolo    une grande foi
sira    prendre parti contre
sira    se déclarer contre
sira    s'opposer à
oma wi re azele na myè ta, e sira myè    celui qui n'est pas pour moi, est contre moi
