bobiz'owaro    aborder de flanc
ozèwè w'oresi    une cuillerée de riz
ozeze    arbre voisin de l' ongèkó
ozigazigo    indécision
ozigo    grand arbre de la forêt, qui produit des fruits comestibles plus petits que les atanga
ozindji    qui est bien bâti
ozindji w'onom̂e    un homme puissant
ozindisi    consolateur
ozino    merle métallique
ozira    paroi
ozira    muraille
ozira    côté
izira yi nago    les cloisons d'une case
izira yi nago    les murs d'une maison
sony'ozira w'ite    faire une cloison en lattes de raphia
pandy'ozira w'ado    élever un mur en pierres
ozira w'igala    la façade d'une maison
ozira w'ogwirina    le mur de derrière
ozira w'owaro    le bord d'une pirogue
dyógó ozira    avoir un point de côté
oziwo    coups de fouet
oziwo    bastonnade
oziwo    fessée
mbólu y'oziwo    une volée de coups de bâton
ozizi    renfrogné
ozizi    peu communicatif
ozó    taret
ozo    figure
ozo    visage
ozo w'okukwè    face à face
ozo w'okukwè    en tête à tête
tomb'ozo    détourner le visage
g'ozo wè    devant lui
sony'oma n'ozo    flatter quelqu'un
anw'are imbya y'azo-gombyè    vous êtes des hypo crites
obèli winó are ozo wó    ce malade a les traits tirés
o re ozo wi ntȼóli    tu as une figure allongée
gè kambe n'ayè    toi qui es bien vu du blanc, va lui parler
myè n'ayè azw'are azo ambani    lui et moi nous sommes brouillés
ozo ṉóṉó    donner un objet à quelqu'un de bonne grâce
pa oma ezóm̂a    donner un objet à quelqu'un de mauvaise grâce
sum̂a n'ozo    tomber en avant
poswa n'ozo    tomber sur la face
kwez'ozó ogoni    allumer une pipe
fel'ozó ogoni    allumer une pipe
izó y'atolaroli ikume yodudu    les tarets ont perforé tous les ocoumés
ozoge    arbre de marais
ozóguna    orifice du nez, de l'oreille
izóguna y'ompombo    les narines
ozógwazógwano    discussion
ozóli    arbre de moyenne taille, dont le bois jaune pâle est susceptible d'être tourné
etava z'izótó    une natte grossière
ozólóngó    objet démanché
ozólóngó    sans collier
okwara w'atweni ozóngóló    la machette n'a plus de manche
sèn'ozóngóló wi swaka    faire le fétiche de la boxe
anto wónó wi re impele izólóngó    ces femmes ne portent pas de collier au cou
ozombare    piquant d'un régime de palmes
izombare y'ezila    les piquants du régime de palmes
ozómbè    prépuce
ozomba    blennorrhagie
ozomba    chaude-pisse
ozómbi    parent
ozómbi    ancêtre
ozómbi    palétuvier d'eau douce
ozómbi    grand arbre à racines adventives : fruits comestibles
om̂wana e bele ngw'ozómbi    l'enfant demande sa mère
ozóndó    ulcération de la plante des pieds se rattachant aux aboukouè
bom̂unyo n'izóndó g'agolo    avoir des izóndó aux pieds
ozone w'oma    de la chair humaine
my'apo pa revo, izone fó    ma part n'a que des os, pas de viande
izone y'okóngó    les filets
tondy'izone    satisfaire les appétits de la chair
ozone w'iba    la pulpe d'une mangue
tomb'izone y'imbila    dépulper des noix de palme
ozónga    groin
ozónga    butoir
ozónga    museau
ozónga    raccommodage
ozónga    rapiècement
ozónga wi ngowa    le groin du cochon
ozónga wi ńando    le museau du crocodile
ozóngazóngo wi re ompolo    il y a trop de pièces à cet habit
ozongo    esclave
awè ozongo, o kamba na myè!    toi un esclave, tu oses me parler
ozóngó    flèche
ozóngó    javelot
ngówè y'izóngó    étui à flèches
ozóngó    bâton pointu dont on se sert pour jouer au rouleau
ozóngó    petit ulcère
faliz'izóngó    décocher des flèches
tum̂'izóngó    percer de flèches
ozóni    index
ozóni    indicateur
ozóni    corder des fibres de jute
tum̂iny' oma ozóni    montrer du doigt ou menacer du geste
dyokun'izóni    détacher l'écorce fibreuse du jute
pundy'izóni go mbene    rouir du jute
pizin'izóni    corder des fibres de jute
ozono    lien de rotin
otondo w'isono    panier en rotin
diry'isono    attacher des lianes
kor'ipambo    fixer des écorces
kor'ipambo    fixer des lattes de raphia avec des liens de rotin
taw'isono    défaire les liens de rotin
ozóno    baguette pour enfiler
ozóno    grande mortalité
ozóno wi wèrè    une enfilade de poissons
són'imbila ozóno    enfiler des noix de palme
anaga w'atweni go dyuwa ozóno    les gens meurent à la file
ozónu    excitant qu'on donne aux chiens de chasse
ozónu    circonspection
ozónu    expérience
dyire mbwa isónu    administrer un excitant à un chien
om̂wo-onom̂e wiṉó adyiro isónu    ce jeune homme est avisé
ozópó    visière
ozoto    feuille roulée
owavi-otanda avuro ozoto    la feuille de palétuvier ne se plie pas en cornet
ozowa    chancre du nez
ozózi wi tulin'igum̂a    les bananes
ozózó    procès
ozózó    difficulté
ozózó    différend
ozózó    palabre
oma w'izózó    un homme de discorde
teniz'ozózó    porter un jugement
aṉambyè ayè be mya go ker'ozózó wam̂i na wè    dieu sera juge entre vous et moi
ozuga    arbre de haute futaie, à grandes branches pendantes : bois d'ébénisterie, écorce médicinale
ozuga    forêt vierge
ozumbu    grêle
ozungakano    dispute
ozungakano    discussion
ozungakano    lutte
ozungakano    rivalité
ozungè    sauveur
jezu-kri n'ozungè w'anaga waodu    jésus-christ est le sauveur du monde
ozuryano    confrontation
ozusum̂yo    ensemble de plis
ozwa    obstacle
ozwa    écueil
ozwa    barrage naturel
owatanga w'asigi g'ozwa w'ado    le navire a échoué sur un banc de roches
ntȼaga y'aswo myè ozwena w'abóndi    le sous-bois que j'ai débroussaillé est sec
pa    donner
pa    permettre
pa    autoriser
pa    donner l'autorisation de
pa    consentir
pa    avoir la volonté
mandè ap'ó go denda yenó?    qui t'a permis de faire cela ?
va myè fura    donne-moi un franc
vare myè ipikil'isó    donne-moi ton opinion
my'aveni orèm̂a g'ipikily'ibe    j'ai consenti à de mauvaises pensées
orèm̂a w'aveni myè g'ipikily'ibe    j'ai consenti à de mauvaises pensées
pa orèm̂a go tiga intȼale imbe    avoir la volonté de se corriger de ses défauts
igamba ṉi re m'pa buya ṉo    une parole que je n'ai pas dite
kao myè pa    excepté moi
yogo ni lambi nunga-pa    apporte la lampe allumée
sika yi re myè niva-pa    l'argent que j'ai gagné
ntȼóngó y'adubwi du pâ    le clou est complètement enlevé
rombe yóm̂a yodu yi re g'egara pâ, pâ, pâ    enlève tout ce qui est dans la caisse, objet par objet
myè ozo wam̂i dè pâ    je détournai alors mon visage
padi    tonsure cléricale
paga    devenir riche
paga    renfler
paga    enrichir
okita w'ikum̂e w'apagizi anaga awenge    le commerce des ocoumés a enrichi un grand nombre de personnes
pagiza    enrichir
