ongonga    larynx
pindy'orèga    rouler une barrique
podun'orèga    défoncer une barrique
orèga wi twezina    la barrique coule
orèga w'atuwi    la barrique a éclaté
orèga w'amgu    un fût d'alcool
oregele    tube
oregele    tuyau de pipe
oregele    pédoncule
oregele    pétiole
orègó    manque de droiture
kadyè are n'orègó    un tel manque de droiture
orèko wi re ompolo    ça n'en finit pas avec ces courses
orèkarèko    allées et venues
orèkarèko    va-et-vient
orèkarèko    courses réitérées
orèm̂a    cœur
orèm̂a    intelligence
orèm̂a    imagination
orèm̂a    mémoire
orèm̂a wi pè bola    le cœur bat encore
orèm̂a wi dèlina myè    j'ai envie de vomir
anango mèmónó mi dèliza myè orèm̂a    cette odeur me soulève le cœur
orèm̂a wi bóndina myè    j'ai des aigreurs d'estomac
fel'igamba g'orèm̂a    prêter attention à une parole
fel'igamba g'orèm̂a    profiter d'un avis
pig'osam̂u g'orèm̂a    garder le souvenir d'une chose
pig'osam̂u g'orèm̂a    oublier difficilement
pig'osam̂u g'orèm̂a    ruminer une chose dans son esprit
nènga n'orèm̂a    apprendre par cœur
tanguna n'orèm̂a    réciter par cœur
oma mèwónó are orèm̂a oyóle    cet homme ne se laisse pas facilement émouvoir
are orèm̂a olele    il est très sensible
dyen'orèm̂a nkaza    avoir du chagrin
dyene nkaza g'orèm̂a    être peiné
mbora yinó y'akweni myè g'orèm̂a    cet endroit me plaît
my'aluo or è ina nkotaga    j'étais dans les transes
dwana n'oma orèm̂a ombe    être mal avec quelqu'un
dyen'oma orèm̂a mpiri vyó    détester
oma mèwónó azele na wè g'orèm̂a    cet homme ne te porte pas dans son cœur
dend'osam̂u n'orèm̂a omo    agir de bon cœur
dend'osam̂u n'orèm̂a omo    agir de tout son cœur
dend'orèm̂a n'irèm̂a imbani    agir à contre-cœur
orèm̂a mpiri go kambina    être bien disposé
orèm̂a mpiri go kambina    mal disposé à faire ses prières
kambina n'orèm̂a wodu tȼwi    prier avec ferveur
pa orèm̂a g'ewilo    s'adonner sérieusement à son travail
tomb'orèm̂a gore oma    se détacher d'une personne
tomb'orèm̂a gore oma    renoncer à une chose
tomb'orèm̂a gore oma    se désintéresser de quelqu'un
orèm̂a wi mpyo    désir exagéré des richesses
simby'orèm̂a    se retenir
simby'orèm̂a    réfréner ses passions
simby'orèm̂a    se modérer
simby'orèm̂a    se réprimer
pero n'orèm̂a    perdre courage
pero n'orèm̂a    se décourager
pero n'orèm̂a    se troubler
dyógó o re n'orèm̂a g'owandja    si tu n'es pas courageux
dwana n'irèm̂a itani    être courageux
tomb'oma orèm̂a    décourager
tomb'oma orèm̂a    démoraliser
apasizi orèm̂a imèpa    il est trop bon
apasizi orèm̂a ifeva    il est trop méchant
orèm̂a ombe    mauvais cœur
edima n'orèm̂a    la vraie beauté, c'est d'avoir du cœur
my'are orèma pupu    j'ai la conscience nette
dyen'ipese orèm̂a nkaza    avoir la contrition de ses pécliés
orèm̂a w'erere    cœur de l'arbre
orèm̂a wi nkóla    le balancier de l'horloge
orèmbó    fleuve
orèmbó    grosse liane de la forêt, à tige aplatie et rubannée : s'administre en infusion comme excitant
oremisi    trompeur
orende    arbuste buissonnant et grimpant à fruits rouges comestibles
orende-w'intȼigo    liane de brousse à gros fruits rouges, de forme ovale, dont l'enveloppe extérieure est comestible et le noyau intérieur médicinal
orèndisi    écrivain
orendji    hareng
ingongo ṉ'irendji    une boite de harengs
orèndó    ligne
orèndó    trait
orèndó    lettre
orèndó    rayure
orèndó    zébrure
irèndó y'ezango    les caractères alphabétiques
tènd'irèndó g'okuwa    tracer des lignes sur le corps
orèndo w'atèndo go ntȼe w'anógo n'oma    que personne ne franchisse la ligne que l'on a tracée sur le sol
ntongo yi kum̂anya irèndó    une règle
orenïga    dernier-né
orenig'iwam̂i ayè winó    voici mon dernier-né
oreno    veillée
orenya    fin de la saison des pluies
azw'atweni g'orenya wi ntȼandja    nous sommes à la fin de la saison des pluies
orera    action d'accompagner
orera    conduite
dyir'oma orera    faire la conduite
orèrè    arbre de très grande taille, très droit et cylindrique, à bois rose de première qualité : son fruit comestible contient des graines dont on extrait l'huile de ndjawe
orèrè    écorce médicinale
orèru    grande antilope à longues cornes en spirale
orèru-w'awango    herbe rudérale rappelant le coqueret ou alkékenge
ewondjo z'oresi    un épi de riz
oresi    riz
orèti    vérité
orèti    droiture
orèti    bonne foi
orèti wodu wi ga wuyo    il faut dire toute la vérité
orevisi wi mpónó    un guide
orevo    sans mélange
orevo    seulement
orevo    rien que
my'aṉa nènó winó oresi orevo    je n'ai mangé aujourd'hui que du riz
ogum̂a orevo    du manioc sec
orove wodu w'atweni ogoni orevo    toute la savane est en feu
nago yodu y'atweni anango arevô    on sent une mauvaise odeur dans toute la maison
ikoko ṉinó ṉodu ṉi re onigi orevo    cette canne est sucrée dans son entier
egara zi re orevo    la caisse est vide
nkula yinó yi re orevo    il n'y a rien à manger dans cette noix
owaro w'afiṉa orevo    la pirogue est repartie à vide
finiz'anaga orevo    renvoyer des gens à vide
orevuni    conseiller
orevuno    observation
orevuno ompolo wi dyane ndowa    à donner trop de conseils, on se fait détester
irevuno yi po go nago y'aṉambyè    les instructions que l'on donne à l'église
origini    cordage
irigini y'owatanga w'akuku    les cordages d'un voilier
origo    héritier
origo    successeur
irigo y'oga    les héritiers d'un chef
origo    cale
orimbarimbo    etat maladif
om̂wa winó are orimbarimbo    cet enfant n'a pas de santé
orimbo    légère indisposition
omwana are n'orimbo    l'enfant est malade
orinibwè    ver
orindi    collier de perles de différentes couleurs
orindi    epi de maïs à grains panachés
orîwa    sans vigueur
oro    petite tumeur
oro    petits boutons qui se forment sur le front
oro    boutons de beauté
iro yi byena anaga g'azo    les boutons qui viennent sur le visage
orogo    espiègle
orogo    turbulent
orogo    dissipé
orogo    dévergondé
tig'orogo    se corriger de son espièglerie
orógó    grande chère
orógó    ripaille
orogo-samba    robe de chambre
orogo-samba    peignoir
oroï    oreille
ozóguna w'oroï    le conduit auditif
wi re aroï poke    ils sont tout oreilles
are oroï wimanga    il a l'ouïe fine
mbwa ni nkawala wi kum̂anya aroï    le chien et le cheval redressent les oreilles
aroï ga mbwa y'adyuî'ebanda    les oreilles longues comme celles d'un chien qui traîne
oroï wi lantóni    l'anse d'une lanterne
aroï m'itondo y'atanga    les anses des paniers d'europe
aroï mi ntȼwana    les orillons d'une marmite
aroï m'egara    des poignées de malle
oróï    terre
oróï    terrain
oróï    territoire
oróï    une propriété
oróï wi mpongwè    la terre des mpongwès
orolè    poinçon
orolè    alêne
orolè wi tum̂in'intȼozo    une alène de cordonnier
orónibi    variété de palmier grimpant : sert à faire des liens
orolo    anus
orómbó    instrument de musique à vent
itómbó si manuwèlè    la fanfare d'un vaisseau-amiral
tong'orómbó    jouer d'un instrument en cuivre ou en bois
orondo    feuille nouvelle
orondo    jeune pousse
orondo    jeune branche
aba m'atuwuni irondo    les manguiers ont des pousses nouvelles
dowin'orondo wi mbuza    commencer à faire les premières mailles d'un épervier
oróndó    faîtage
oróndó    pièce horizontale qui domine la charpente
oróndó    chancre du nez
oróndó wi mbandja w'adowo    on a posé le faîtage du corpsde-garde
iróndó imyango    les traverses
dèngina g'oróndó    atteindre le faîte
panda g'oróndó    monter sur le faîte de la case
orondondo    grande graminée à épis retombants
orondokóndó    feuille terminale du bananier
orondorondo    timidité excessive
oróndówèsi    dunette
orone    foulque noire
orone    espèce de poule d'eau
orone    liane très grosse à grandes gousses contournées : les fibres, employées comme bourre, servent à faire du fil à filet
oronga    champignon
orongo w'okóga w'erere    champignon de savane
oronga    profondeur
oronga    sonder
kènda g'orónga    aller au large
iróga ṉ'okóga    champignon d'un brun noirâtre
olówi wi re orónga    la rivière est profonde
evero z'orónga    un puits pro fond
owatanga mèwónó wi bóng'orónga ompolo    ce navire cale trop, a trop de fond
meli y'apungi g'orónga    le paquebot a mouillé au large
anóngó m'orónga    les peuplades de la côte nord
oróngè    creux
oróngè    cavité d'une chose
tok'orongè w'owaro    creuser une pirogue
mpundji yi re orongè îô    cette pointe d'ivoire est creuse
oloso w'atweni orongè îô    la plaie se creuse
bèna oma    enterrer un mort
tokun'ebende g'orongino    déterrer un mort
orongino    tombe
orongino    fosse
orongisi    musicien
orongisi    celui qui joue d'un instrument à vent
oronondo    sommet de la tête
oróró    souche
ororo    tétrodon
ororo    poisson de mer à forme renflée
ororo    arbre de marais, armé d'aiguillons doubles: médicinal
ororo wi nanda    petit arbre rudéral
oróró    milieu d'un cours d'eau
anaga waodu wi re oróró omo    tous les hommes viennent de la même souche
na oróró w'om̂wana    donner un repas de famille à l'occasion d'une naissance
orove    plaine herbeuse
orove    savane
itove s'esira    les savanes du pays eshira
dul'orove go pagine pondom̂a    cueillir les épis de cette gra minée pour garnir des oreillers
kènda g'orowa    aller au ciel
kènda g'orowa    monter au ciel
my'akola irowa itani    j'ai acheté cinq orowa
nago y'orowa    la sixième maison
ntȼugu y'orowagenom̂o    le septième jour
orowa    ciel
orowa    six
orówano    injures réciproques
ogum̂a orowe    du manioc moisi
orówisi    injurieur
orówisi    insulteur
orówo    parole injurieuse
tów'oma mbólu y'orówo    accabler quelqu'un d'injures
tów'oma mbólu y'orówo    agonir quelqu'un d'injures
oruge    condamné
oruge    détenu
oruge    personne qu'on opprime
tug'oma orugo    accabler quelqu'un de travail
orugo    travail accablant
orugo    servitude
orugo    tyrannie
orugu    etai
orugu    tuteur
orugu    support
tug'orugu g'erere    donner un tuteur à un arbre
orule    emoussé
orule    non tranchant
okwara oruie    une machette qui ne coupe pas
orulisi    pileur
orulisi    pileuse
orulisi    grondeur
orulisi    grondeuse
orulisi w'igum̂a    une femme qui pile du manioc
orum̂a    masse
orum̂a    boule de craie
orum̂a wi nkogo    une boule d'ocre
