rombina myè wulu mèyónó    enlève-moi ces balayures
tata atweni ga tótó    mon père va mieux
tova    vomir
idyavi s'abumbulu si tovina    les feuilles d' abumbulu servent de vomitif
tova    donner des nausées
tove ntȼina    vomir du sang
ya yi tovina    un vomitif
ńango yi tovina    un vomitif
towa    moisir
towa    avoir souvent la gale
towa    être scrofuleux
ompege w'atowi wodu rowe    le fromage est tout couvert de moisissure
ingóï sam̂i sodu s'atowi    tout mon linge est moisi
igum̂a yinó y'adingi polo    ces bâtons de manioc sont trop vieux, ils sont tous moisis
om̂wa winó are ebanda z'okuwa ewe    cet enfant n'est pas sain, il est souvent galeux
odika w'atomini myè    mon odika se moisit
nkèï yi towize yóm̂a yodu    l'humidité moisit
tówa    injurier
tówa    outrager
tówa    insulter
tów'oma du poba    dire des grossièretés à quelqu'un
tówa    déclarer la guerre
tówa    s'insulter
tówa    se dire des injures
tów'oma inoka    traiter quelqu'un de menteur
tów'oma idyufa    traiter quelqu'un de voleur
tów'oma ogaso    traiter quelqu'un de gourmand
e dwana kao ntówarówaga am̂óri    il ne fait qu'insulter les autres
tówana    se dire des injures
tu    assis
tu    en repos
wi pare vóvó tu    ces gens-là sont-ils partis?
azwè tu go ṉa    nous nous mîmes à table
poswa go mbene tubu    tomber à l'eau
tuga    etayer
tuga    consolider
tuga    caler
tuga    accabler de travail
tuga    surcharger
tuga    opprimer
tuga    mener durement
tug'óma ṉum̂a    tourner le dos à quelqu'un
tug'ikóndó orugo    donner un support à un bananier
tuge nago    étayer une case
tug'ogolo wi tavuru    caler le pied d'une table
tug'anto    accabler les femmes de travail
tug'okuwa    travailler beaucoup
wi re koro-pa iṉum̂a tugana-pa    ils sont attachés dos à dos
tugwa    s'effondrer
tugwa    s'écrouler
tugwa    être renversé
erere z'atugwi du ngyô    l'arbre a été renversé
tugwa    renverser
tugwa    abattre
tugwa    démolir
nago yi bele tugwa    la maison menace ruine
tugunye nkala    ruiner un village
ogula w'atugunyi rere y'iga    la tornade a renversé les arbres de la forêt
tugunya    renverser
tugunya    abattre
tugunya    démolir
tuka    chiffonner
tuka    froisser
tuka    détériorer
tuka    user
tuka    mouiller
tuka    affaiblir
tuka    dèliza
tuk'onamba    chiffonner un pagne ou user un pagne
azw'atuko ni ningo    nous avons essuyé une averse
azw'atuko ni ningo    nous avons été trempés par la pluie
nkani y'atuki myè okuwa    la maladie m'a rendu très faible
tukyarukya epondom̂a    froisser un oreiller
tukuna    battre
tukuna    fustiger
tukuna    charger de coups
tukun'oma oziwo    rouer quelqu'un de coups
tukwa    se répandre
tukwa    couler
tukwa    venir en foule
oloso wè w'atukwi    sa plaie répand beaucoup de sang
evor'izè z'atukwi nteina ṉenge    sa plaie répand beaucoup de sang
zónó entuntu z'anaga zi tukwa gonó    voilà une troupe de gens qui s'avance
tula    emoussé
tula    qui ne coupe pas
swak'iyó yi re tula    ton couteau ne coupe pas
tula    emousser
eza zi tèndina z'atuli    le crayon n'écrit plus
tulize swaka    émousser un couteau
tule ntȼèngè    damer
tule ntȼèngè    tasser
tule ntȼèngè    pilonner la terre
tul'oma mbólu y'oziwo    rosser quelqu'un d'im portance
igamba mènónó ṉ'atuli myè okuwa    cette nouvelle m'a abattu
kamba n'am̂óri kao ntulaga sibóndó    ne parler aux autres qu'avec des éclats de voix
tuline móńgi wi kènda sinkim̂a    piler des bananes pour ceux qui partent en voyage
my'arulizi igum̂a dyao    j'ai fait piler du manioc
tuliza    emousser
tulina    broyer
tulina    piler
tulatula    très émoussé
tupagowi tulu    battre des mains
tum̂a    percer
tum̂a    piquer
tum̂a    décocher
tum̂a    coudre
tum̂a    confectionner
tum̂o n'isani    recevoir une balle
tum̂e ntombo    faire une piqûre
tum̂'intȼozo s'atanga    faire des souliers
tum̂e ewèrè n'ezaza    pêcher à la foene
owatanga w'atum̂e ntum̂aga g'adóm̂ina wo    le navire a coulé à pic
owatanga w'adóm̂ina du ntum̂aga    le navire a coulé à pic
agamba mèmónó m'atum̂a myè g'orèm̂a    ces paroles m'ont piqué au vif
ntombo yi tum̂ina    une aiguille
tum̂iz'elinga    faire coudre une robe
tumba    creuser
tumba    remuer la terre avec un outil
tumba    creuser un trou
tumba    une rigole
nkambi gore    creuser une fosse à gibier
tumba    tirer la terre
tumba    récolter
tumba    bourgeonner
oloso wi tumba    l'ulcère ronge les chairs
om̂wanga wi tumbine ntȼèngè    un outil pour creuser la terre
tumbiz'akabo    faire récolter des tubercules de taro
tumbakana    piocher
tumbakana    bêcher
tumana    lutter
tumana    rivaliser
tumbakana    piocher
tumbakana    bêcher
tumbakana    danser avec frénésie
tumbya    broncher
tumbya    trébucher
tumbya    faire un faux pas
tum̂inya    montrer
tum̂inya    faire voir
rum̂inya myè ególani mèzónó    montre-moi ce portrait
tum̂iny'okuwa    chercher à paraître
tum̂iny'okuwa    se mettre en évidence
tum̂inye nkèmbó    se pavaner avec de beaux habits
tum̂iny'inèng'isè    faire montre de sa science
tum̂iny'odando    faire parade d'une qualité
tuna    petit
tuna    se raccourcir
tuna    être court
tuna    raccourcir
tuna    écourter
tuna    raccourcir une robe
tuna    une corde
onom̂e wi tune!    quel petit homme!
ogum̂a winó wi re tuna-pa polo    ce bâton de manioc est trop court
om̂wa mèwónó ntunaga    cet enfant est très petit
onamba w'atunini myè    mon pagne est devenu trop court
ebó zi tuno imyanga    une enclume
ntȼoio yi tunina imyanga    un marteau de forge
tuniza    raccourcir
tuniza    écourter
tunatuna    très court
tunga    avoir une maladie incurable
tungunya    longer
tungunya    côtoyer
elende zi kènde ntungunyaga    le canot longe la côte
tunya    heurter
tunya    raviver
tunya    corriger
tuny'ogolo    toucher quelqu'un sur sa jambe endolorie
tuny'oma vora y'orèm̂a    raviver la peine
tuny'oma vora y'orèm̂a    toucher quelqu'un à l'endroit sensible
ko tunyaga awan'iwó    il faut corriger tes enfants
oloso w'atuna myè g'erere    ma plaie a été égratignée par un morceau de bois
tunyè-tunyè    valétudinaire
tunyè-tunyè    maladif
tura    approcher
tura    avancer
tura    approche plus près
turinya    faire un repli
turiny'etava    faire un repli à une natte
tusè    en grande pompe
tusè    en foule
w'akènde nkóndó mpolo tusè go datana n'oga    ils sont allés en grande pompe au-devant du chef
tuta    flanquer
tuta    lancer
tuta    appliquer rudement ou crânement
tuta    jeter
tut'oma iba g'ozo    jeter
tutè    qui n'a pas la longueur réglementaire
tutè    incomplet
wi re tutè    ce pagne n'a pas les deux brasses complètes
tutulu-tulu    court
tutulu-tulu    emoussé
ntȼègè yi re okwende tutulu-tulu    le mandrill à la queue très courte
otóndó wó wi re ntȼaï tutulu-tulu    ton épingle à cheveux n'a pas la pointe aiguë
tuwe disu    faire éclater une chique
agolo modu m'atuwaruw'è    ses jambes sont toutes perforées de plaies
ningo s'atuwini olówi    les pluies ont ouvert la rivière
olówi w'atuwini oka    le ruisseau a crevé la digue
ndjali y'atuwina myè g'agó    le fusil a éclaté entre mes mains
tuwa    accuser
tuwa    incriminer
tuw'oma idyufa    accuser quelqu'un de vol
tuw'epolo    accuser injustement
tuw'epolo    diffamer
móngi wi nka yinó wi re kao ntuwaruwanaga    les gens de ce village ne font que s'accuser mutuellement
tuwan gana go mpiri    errer dans les ténèbres
tuwuna    germer
tuwuna    croître
tuwuna    pousser
tuwuno n'elèlu    commencer à avoir de la barbe
twa    coupant
tweza    aiguiser
tweza    acérer
twa    être
twa    devenir
twa    avoir lieu
twa    aiguiser
twa    acérer
twa    couler
twa    dégoutter
igamba ṉ'atwa sè?    comment cela a-t-if eu lieu?
ṉóngó móri ṉi ze twe yenó?    est-ce que ce n'était pas ainsi?
advienne que pourra: cela m'est bien égal! osam̂u ko twa    on ne sait jamais ce qui peut arriver
om̂wana atweni orogo    l'enfant est espiègle
aningo m'atweni mpyo    l'eau est (maintenant) chaude
myè ga twe    depuis que'j'existe, je n'ai jamais été en prison
wi pa twa go bya    ils ne sont pas encore arrivés
dyógó w'atwa pyèrè go bom̂wa    quand ils seront près d'arriver
owendja wi pa twa    il ne fait pas encore jour
enom̂o zi pa twa    la saison sèche n'est pas encore arrivée
owaro wi 'twa iwam̂i    la pirogue n'était pas à moi
osam̂u ko twa    on ne sait jamais ce qui peut arriver
itutu ṉinó ṉi pa twa    ce vin de palme n'est pas fait
swaka y'atweni    le couteau coupe bien
rweza okwar'iwó twa    aiguise bien ta machette
twa    acéré
mpovo yi re twa    le harpon à la pointe acérée
evanigo zinó zi re twa    cette embarcation est taillée en pointe
elende zi twa    le canot fait eau
aningo mi twa g'ogèla    l'eau gicle par la fente
nago yi twa    il pleut dans la maison
orèga wi twa    la barrique coule
imógi ṉi twa    la cruche perd l'eau
aningo mi twezina g'olombo    l'eau tombe goutte à goutte dans le chaudron
ingongo ṉi twezina dó    le liquide s'échappe goutte à goutte de la cruche
twezina    tomber goutte à goutte
twezina    dégoutter
twaga    tout droit
twaga    directement
gore oga go nègir'è sidólè    ils se dirigent tout droit vers le chef pour lui demander de l'argent
tout droit    directement
twakilya    errer
twakilya    vagabonder
twakilya g'ibaka    errer dans un fourré
twana    apporter
twana    porter
twana    transmettre
twana    transporter
twana    emmener
twana    conduire
twana    prendre avec soi
twana    annoncer
twana    dénoncer
twana    ébruiter
twan'oma ezango    apporter à quelqu'un une lettre
twan'agonda    porter un message
twan'agonda    se charger d'une commission verbale
twan'om̂want'wè n'awan'iwè g'ogowè    emmener sa femme et ses enfants dans l'ogowè
twane nteango    annoncer une nouvelle
twan'oma gore kómanda    accuser quelqu'un devant l'administrateur
twan'isam̂u yi ngani    colporter des nouvelles
twan'am̂óri g'idyuîa    porter les autres à voler
orèm̂a ayè twan'okuwa    c'est le cœur qui est la racine du mal
orèm̂a wi twanya myè go nkala    ma pensée va vers mon village
irèm̂'iyani yi pè twanya g'imonda    vous êtes encore attaché au fétichisme
twaniza    envoyer
twaniza    faire parvenir
twa-pa    si
twa-pa    peut-être
vonare twa-pa egombe z'idyandja z'akeki    regarde s'il est l'heure d'aller au travail
twa-pa awè onom̂e    si tu es un homme, approche donc ici
tw'aza ga    si ce n'était pas
tw'aza ga    ne pas
tw'aza g'anunguna myè yè    si je ne l'avais pas aidé
twa-zange    si
twa-zange    peut-être
twa-zange m'be tola ?    peut-être guérirai-je ?
twena    cracher
twene ntȼina    cracher du sang
rwen'igwana go ntȼe    retire ce que tu as dit
twenya    imposer silence
twenya    faire taire
tweny'iyawana yi dèngana g'ozègè    imposer silence à des enfants qui se disputent sur la plage
twenya twe    gourmander fort
twèzè    éclater en invectives contre quelqu'un
ntȼugwedu kao twèzè na twèzè    tous les jours je crie contre eux
tya    craindre
tya    avoir peur
tya    faire peur
tya    menacer
ty'oma anteó    obéir par crainte
ty'oma anteó    avoir une crainte servile
mi tyen'ó n'osam̂u mèwónó    j'ai des craintes pour toi dans cette occurence
tyez'iyawana-rumbe    faire peur aux petits enfants
tyena    craindre pour
tyeza    faire peur
tyeza    menacer
vagasa    à l'improviste
vangama    organisé
vangama    préparé
vangama    à point
vangama    organisé
ozimo are vangama    ozimo ne manque de rien
dèng'osam̂uedu vangama    trouver tout installé
ve?    où?
o fiṉa na ve?    jusqu'où es-tu allé?
ve?    quoi?
anwè tón d'aṉambyè ga we?    jusqu'où va votre amour pour dieu?
tonga ombanda ve    souffler dans une corne d'antilope
ve buy'e    répète
ve buy'e    dis encore
ve ṉeni    mangez encore
wi ga ve dyembe ṉóngó ṉènè    il faut qu'ils chantent encore une fois
vè    alors
bola owa ntongo vè    asséner à quelqu'un un grand coup de bâton
bola oma oganda vè    jeter quelqu'un à terre
rèviṉè e vè dwana go benda    et rèvignè de se mettre en colère
mi vè dèmbya go tówa wao    alors je me mis à les insulter
vegavegano    de travers
vegavegano    embrouillé
owaro mèwónó wi re vegavegano    cette pirogue est toute de travers
ogolo w'atweni vegavegano    il a la jambe de travers
erere zi re vegavegano    cet arbre est tortu
vegevege    un jour ou l'autre
vegevege    avec le temps
vegevege    à la longue
vegevege m'be dyandja du osam̂u mèwónó    il n'est pas dit qu'un jour ou l'autre je ne fasse ce travail
vèï    ici
vèlîvèlî    marquant la lueur de l'éclair
vèmbó    pâle
onamba wa vèmbó    une étoffe blanche
e dyen'inago si pilato vèmbó    les maisons de libreville apparaissent toutes blanches
vende    de peur que
vende    de crainte que
vende    que
anwè vende koto n'idyógó    prenez garde que vous ne tombiez malade
móngi mèsónó wi vende kè dyufina nwè    faites attention que ces gens ne vous volent
awuyin'è du igamba    ne lui dis absolument rien
