ninga    enrouler
ntȼango mèyónó y'adyenizi myè orèm̂a nkaza    cette nouvelle m'a fait de la peine
o pa bónge nkaza y'om̂wan'iwó    tu ne te soucies guère de ton enfant
owatanga wi re dènga-pe nkaza    le bateau est endommagé
nkazo    ecaille
nkazo    lamelle épidermique
inkazo s'imónó    les écailles de mulets
nkazoka    fruit d'une liane, dont les graines se mangent grillées
nke    ovaire
nkega    sur le côté
igamba ṉi nkega    une parole déplacée, une sottise, une bévue
ndendini mèyónó yi re nkega    cette manière d'agir est mal venue
nkègèndjè    gravier
ikègèndjè s'ado    du gravier
nkègèndya    chatouillement
nkègènî    flammèche
nkègènî    parcelle embrasée qui s'élève d'un brasier
inkègèni si pazangana go pezo itove    les flammèches s'élèvent quand on met le feu aux savanes
nkègènî    lumière faible
lambi yi bam̂ine nkègèni    la lampe donne une toute petite flamme
nkègèrè    grincement
nkègèrè    craquement
nkègèrè y'anó    le grincement des dents
intȼozo si kambe nkègèrè    les souliers craquent
nkègèrè yi nteege    le grincement d'une poulie
nkèï    humidité
nkèï    moiteur
nkèï    fraîcheur
nkèï    très froid
nkèï    glacé
nkèï yi kov'iîe    l'humidité engendre la fièvre
nago yinó yi re nkèï    cette case est humide
orèm̂a w'atweni myè nkèï zwere    cette boisson m'a rafraîchi
ebende z'atweni nkèï    le cadavre est glacé
nkègèza    fourmi brune
nkele    stérilité
idómbè ṉam̂i ṉi re nkele    ma brebis est stérile
erere zinó zi re nkele    cet arbre est stérile
nkèli    vigoureux
nkèli    os ou fragment du crâne
nkèli    tesson
nkèli    débris de bouteille
val'inkèli si pèlè g'iyela    jette les débris d'assiettes sur le tas de décombres
nkèli    petite fourmi noire qui pique fort
epoti z'atiga ni nkèli ntevo    il a le crâne dénudé
sèngin'itwe ni nkèli yi mbute    raser les cheveux avec un tesson de bouteille
nkèm̂a    singe
nkèm̂'aruwè    autre nom du dauphin
nago mèyónó y'adyuwa iyuwa ṉi nkèm̂'aruwè    cette famille s'est éteinte d'un seul coup
nkembe    rayure
nkembe    zébrure
inkembe si nkambi    les rayures de l'antilope nkambi
nkèmbó    ornement
nkèmbó    ajustement
nkèmbó    parure
dyakize nkèmbó    se parer
nom̂ize nkèmbó    mettre ses habits de fête
nkèmbó    aimer la parure
nkèmbó yi zele n'osam̂u    la parure n'est pas une chose de grande importance
nkèm̂ó    en quantité insuffisante
nkèm̂ó    en nombre restreint
móngi wi dyandja wi re nkèm̂ó    la main d'œuvre est insuffisante
móngi wi dyandja wi re nkèm̂ó    les ouvriers sont peu nombreux
inèṉgó ṉ'adyóli du nkèń    le poteau est fixé solidement
égara nkèń    clouer solidement une caisse
oga    chef
oga    roi
oga    un grand chef
nkènda    étranger
nkende    toqué
nkèndini    allure
nkèndini    démarche
nkèndjè    gésier
nkèndjè    arbre à bois dur, du bord des eaux douces
nkèndjè yi ndjógóni    un gésier de poule
nkendjo    petit
nkendjo    râblé
are ozo wi nkendjo    il porte jeune
nkendo    clochette en fer forgé
suge nkendo    agiter une clochette
nkènè    passereau jaune marqué de noir
nkènè    fétiche du chant ou de la parole
nkenge    etroite bande de terre
nkenge    chemin de halage
nkengo    gros nuage
evindi z'atelangani nkengo    un gros nuage noir obscurcit le ciel
telanganye nkengo go kóg'owaro    placer un rouleau sous une pirogue pour la traîner à terre
inkengo s'owatanga w'akuku    les vergues d'un voilier
telangany'inkengo g'odo    mettre des rondins à son lit
nkèngó    bonté
nkèngó    douceur
fel'oma nkèngó    se montrer bon
nkèngó    avec modération
nkèngó    lentement
nkèngó    doucement
tówe nkèni    insulter quelqu'un
nkenó    diligence
nkenó    soigneux
om̂wa winó are nkenó    cet enfant est soigneux
azele ni nkenó    il n'est pas soigneux
azele ni nkenó    il manque de soin
nkèrè    propreté
erumbe zó are yóm̂'iyè yodu nkèrè ntevo    ton jeune frère tient tous ses effets très propres
osam̂u nk'e mèwónó wi re nkeryageryè    c'est une chose épouvantable
nkèra    circoncis
nk'evove    maternité de plusieurs lits
nkewa    encens
nkewa    copalier
nkewa yi dyukizo otutu go nago y'aṉambyè    l'encens que l'on brûle à l'église
nkèza    poussière de bois vermoulu
tavuru y'atweni yi kógwa inkèza    la table est toute vermoulue
nkezè    mêlé
nkezè    mélangé
ṉanga n'agèï m'atwe nkezè    l'eau de mer s'est mêlée à l'eau de rivière
oyombano wi nkezè    un mariage mixte
nkilinga    ouistiti
nkim̂a    pâte
nkim̂a    amalgame de substances alimentaires pilées
nkim̂a    pâte de bananes pilées
nkim̂a    pâte de bananes blettes et d'arachides pilées ensemble
nkinda    mânes des ancêtres
nkinda    esprits des morts
inkinda si bengana g'izóngó    les mânes se rallient sous les flèches
dyirin'inkinda iṉa    faire des offrandes aux esprits des morts
nkizi    poussière
nkizi    poudre
nkizi    sciure
nkizi    raclure
nkizi    limaille
nkizi    miette
idega sinó s'asègi    ces biscuits tombent en poussière
wèrè yodu y'atweni nkizi ntevo    tout le poisson s'est émietté
nkizi yi wèrè yom̂o    des déchets de poissons fumés
nkóndó y'inkizigizi    une troupe de petits enfants
nkizigizi    marmaille
nkoga    touraco vert
nkóga    trace
nkóga    endroit par où passe une pirogue que l'on traîne à terre
nkóga    raies et autres poissons qui se tiennent dans les fonds vaseux
nkóga    à découvert
nkóga y'apyagana n'om̂amba    la trace d'un serpent
mpónó yi re nkóga nti    le chemin est à découvert
erere z'apezo zi re nkóga nti    on retrouve la longueur de l'arbre brûlé à la trace qu'il a laissée
nkógago    rive
isógó n'apindji wi re nkógago mo    les lshogos et les apindjis sont sur la même rive
nkogo    maxime
nkogo    ocre jaune
kove nkogo    parler en parabole
kove nkogo    énoncer une maxime
kove nkogo    énoncer un proverbe
ogovisi w'inkogo    celui qui s'exprime par paraboles
dyandje nkogo    faire une chose dont on parle longtemps
om̂wa mèwónó e be dyandje nkogo    cet enfant fera des merveilles
kembe nkogo g'okuwa    se badigeonner avec de l'ocre jaune
nkógóndó    croc pour fixer quelque chose en terre
nkógóndó    piquet
nkogoro    raie bouclée
nkógózó    coude
nkógózó    flacon à fond ovale
nkógu    bande de terre
nkógu    piste de halage entre deux rivières
nkógu    palmier à asperges
nkógu y'iga    palmier grimpant dont on mange le cœur
nkógu    pousses de palmier à asperges
nkógu    bambou de chine
nkógu y'atanga    une canne
nkógu y'ikóï imbani    la piste de halage située entre les deux ikóï
nkógu yi kangana na myè yi re gwe ?    où est ma canne ?
nkógu y'oga    un bâton de chef
nkógu yi minisè-mpolo    une crosse d'évêque
nkógunyaga    perpendiculairement
nkógunyaga    en relief
nkógunyaga    en saillie
nago yi nkógunyaga    une maison construite perpendiculairement à la rue du village
nkóla    lombric
nkóla    ver de terre
nkóla    escargot
nkóla    limaçon
nkóla    escargot à coquille pointue
nkóla    gros escargot de la forêt
nkóla    montre
nkóla    horloge
nkóla yi re sè?    quelle heure est-il?
mbolo yinó arc antȼó-nkóla    ce vieillard voit trouble
nkóla bó avagino are    on ne bourre pas de médicamentsfétiches la coquille d'un escargot vivant
ozo wi nkóla    le cadran
dyólize nkóla    augmenter la pression
nkól'evîla    perle noire
nkóli    brin
nkóli    respiration difficile
nkóli    collier de perles
nkóli    suffocation
nango y'adyèkizi myè nkoli    ce remède a amélioré ma respiration
nkóli yi ṉóngè    un brin de fil
nkóli y'orwe    un cheveu
nkóli y'iṉani    un brin d'herbe
nkóli-góli    a demi-fumé ou boucané
mbèrè yi kóli-góli    une sardine à demi-fumée
nkóló    pardon
nkolo    soir
nkolo    à la tombée de la nuit
nkom̂a    bouderie
nkóm̂a    pleine lune
nkóm̂a    palmier à huile, à fruits verts
ogwèli w'om̂w'onaga w'aliwe nkóm̂a    la lune de l'homme n'aura jamais son plein
nkóm̂aga    a capsule ou à piston
ndjali yi nkóm̂aga    un fusil à capsule ou à piston
nkombanónî    fauvette grise
nkombe    compas
nkombe    soleil
nkombe y'atóngwi    le soleil se lève
nkombe yi kombize ṉondo    il est près de midi
nkombe y'atweni ṉondo    il est midi
nkombe y'atingi    le soleil baisse
nkombe y'asum̂ini y'aposwi    le soleil est couché
nkombe-ni-ngóndè    jeu enfantin
nkombeningo    mbilinga des marais
nkombenongo    aigle-pêcheur
nkombîgombi    variété de grande amome qui produit le poivre mungulu
nkombe-tenyarenya    saurien fouisseur à queue très courte
nkombo    surnom
nkombo    devise
nkómbó    copeau
inkómbó si kómbuno g'intimbe    copeaux de planches
kómb'inkómbó' si panga ni ńango    racler une écorce d'arbre pour préparer un médicament
nkombo-gombo    parasolier
nkombo-gombo    bois de liège ou bois-bouchon
nkombo-gombo    arbre de reboisement à bois mou et filan dreux
nkombo-gombo aze ntȼóni yi nim̂'ogoni    le parasolier n'a pas honte de voir éteindre son feu
onamba wi nkombo-gombo    une étoffe de velours
nkómb'orove    graminées à longs épis cylindriques
owarotutu wi dyam̂a go nkóm̂i    le bateau à vapeur descend dans le bas de la rivière
nkóm̂ine    cloué
intȼozo inkóm̂ine    des souliers cloués
nkompini    allemagne
nkompini    genre de flacon
nkona    même âge
nkona    année
azw'are nkona mo    nous avons le même âge
nkon'isam̂i    ceux de ton âge
nkóndè    inlassable
nkóndè    infatigable
nkonde    première femme d'un polygame
nkonde    femme importante d'un chef
nkonde    tartre qui se forme sur les dents
nkonde    mousse
anó m'akoti nkonde    les dents sont sales
nkóndè y'ewilo    un travailleur infatigable
nkóndè y'ita    un pêcheur enragé
nkóndj'ónamba    traîne de pagne
nkondo    carpe commune
nkondo    vieille carpe
ntȼèvi    fruit parfumé
nkóndó    troupe en marche
nkóndó    cortège
nkóndó    défilé
nkóndó y'anaga    une troupe de gens en marche
kendjane nkóndó y'ikambina    former une procession
nkóndó y'iṉumbe    un convoi de pirogues
nkóndó-mbya-y'araro    les trois rois ou les trois mages
nkonga    cuivre rouge
nkonga    sou
nkónge    concubine
nkónge    maigre
nkónge    décharné
nkónge    maîtresse
ṉare nkónge    une vache maigre
nkóngini    maigreur
nkongo    mâchoiron de mer
nkóngónó    iule
nkóngónó    mille-pattes
nkóngónó yi dandalanda    le mille-pattes rampe
nkónkó    dissimulé
nkónkó    peu expansif
nkono    charnière
nkono    penture
nkono    gond
nkono yi tolongo    charnière de porte
imógi ṉi nkono    une cruche à deux anses
nkónya-gónya    herbe rudérale dont les fleurs minuscules s'attachent aux vêtements
nkónya-gónya    amarantacée
nkóra y'odjo    torche de résine
nkóra    torche
nkóra    flambeau
nkórè    lenteur
nkórè    apathie
nkórè    inertie
tuge nkóri    détourner la tête
nkoro    scolopendre
nkoro    cent-pattes
to ni nkoro    être piqué par un cent-pattes
nkoruna yi podun'imbute    un tire-bouchon
nkoruna yi ntȼèrè yi ndjali    un tirebourre
nkotino    poignée
nkov'iyam̂i    voici mon frère cadet
nkóri-pipa    lambin
nkoruna    spirale
nkotino    pommeau
nkotino    pomme
nkova    frère cadet
nkova    sœur cadette
nkowa    de l'autre côté
nkowa    d'un autre côté
nkowedu    de tous les côtés
nkowa    de côté
go nkowa yinó    de ce côté-ci
go nkowa yinó    de ce côté-là
go nkowa y'evero    du côté de la fontaine
my'amye nkowa y'akèndondè    je ne sais où il est parti
dyógó go nkowa yi ntȼe    avoir une maladie vénérienne
nkowa-mbanl    variété de palmier à huile
nkowi    chose
nkowi    affaire
ombya wi ṉkowi wi re gwe ?    quel plaisir ?
nkowi mbya !    à la bonne heure !
nkowi mbe !    quel dommage!
nkowi mbe !    c'est malheureux
dyokun'inkowo si rere    détacher des écorces d'arbres
nkowo    ecorce
nkowo    paupière
nkowo    peau de tambour
nkowo    croûte
nkowo    plaque
nkowo    pellicule
nkowo    dépôt
inkowo s'antȼó    les paupières
mbute yodu y'atweni inkowo bata-bata    il s'est formé un dépôt au fond de la bouteille
nkozaga ni ntȼe    le long de la rive
nkozaga ni ntȼe    en côtoyant la rivière
nkozaga    tout le long de
nkozaga    en côtoyant
